trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,0,0,0,0.010216178372502327,0.009676948932831329,2.7918396881432272e-05,0.1497894525527954,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,0,0,0,0.019081057980656624,0.00955270546040856,1.2138291822338942e-05,0.08572564274072647,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,0,0,0,0.009873263537883759,0.009495358662019135,8.11604259070009e-05,0.22101904451847076,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,0,0,0,0.021432744339108467,0.009322561937471982,4.1905073885573074e-05,0.13632623851299286,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,0,0,0,0.01210394874215126,0.00981995919375113,6.392486102413386e-05,0.1569340080022812,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,0,0,0,0.0024647966492921114,0.009970723487325812,5.01189824717585e-05,0.11365290731191635,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,0,0,0,0.019246075302362442,0.009508454851258648,4.2821196984732524e-05,0.17516286671161652,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,0,0,0,0.006472265813499689,0.010489597194028465,7.810892566340044e-05,0.1583206206560135,0.7159516320000421,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,0,0,0,0.011251186020672321,0.009235756427903107,9.846427565207705e-05,0.039009083062410355,0.17359045387479455,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,0,0,0,0.01401866041123867,0.009991272687892343,0.00010985331755364314,0.09098391979932785,0.17359045387479455,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,0,0,0,0.021727753803133965,0.010116921684870613,0.00012722931569442153,0.25909584760665894,0.17359045387479455,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,0,0,0,0.009941427037119865,0.009691835434462337,9.39260280574672e-06,0.11740729212760925,0.17359045387479455,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
