trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,1,0,0,0.011382631957530975,0.011500916508280352,9.92852365016006e-05,0.14676912128925323,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,1,0,0,0.020434744656085968,0.011558728751340824,0.0001790280657587573,0.08660027384757996,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,1,0,0,0.011052963323891163,0.011667281915542116,6.305168062681332e-05,0.22115664184093475,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,1,0,0,0.027669982984662056,0.011329082465066313,4.5935037633171305e-05,0.13683626055717468,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,1,0,0,0.014717267826199532,0.011638439204003224,3.2396863389294595e-05,0.1541457623243332,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,1,0,0,0.0038408369291573763,0.011974821259951569,3.877106792060658e-05,0.11448623985052109,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,1,0,0,0.023415792733430862,0.011548567499449564,3.441826265770942e-05,0.17549321055412292,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,1,0,0,0.01082893367856741,0.012459370449544076,9.780858817975968e-05,0.15813839435577393,0.5916997551250915,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,1,0,0,0.01289344485849142,0.011338625870776014,0.00012195523595437407,0.0513562373816967,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,1,0,0,0.021851250901818275,0.011953555875379242,6.988958921283484e-05,0.09136766195297241,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,1,0,0,0.02827838435769081,0.012243664241454098,0.00019064793013967574,0.2592470049858093,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,1,0,0,0.008825360797345638,0.011733731181906478,0.00022325101599562913,0.11096958070993423,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,1,0,0,0.013821513392031193,0.011563513792000595,9.777836385183036e-05,0.054638657718896866,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,1,0,0,0.015270724892616272,0.012983614216099523,7.41324620321393e-05,0.18667779862880707,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
14,137,10000,2000,2000,1,0,0,0.020797481760382652,0.012508925034776621,0.00015279644867405295,0.15227051079273224,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
15,138,10000,2000,2000,1,0,0,0.018920941278338432,0.011135769475977577,0.00011471328616607934,0.04638821259140968,0.17427928500001144,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
16,139,10000,2000,2000,1,0,0,0.007104904390871525,0.012458733421273065,0.00013837481674272567,0.15793512761592865,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
17,140,10000,2000,2000,1,0,0,0.01254536584019661,0.012565402570417064,6.964434578549117e-05,0.11486609280109406,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
18,141,10000,2000,2000,1,0,0,0.013021792285144329,0.01204030659103446,0.00012873012747149915,0.18058952689170837,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
19,142,10000,2000,2000,1,0,0,0.003244808642193675,0.01169507672428881,9.467553172726184e-05,0.10103945434093475,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
20,143,10000,2000,2000,1,0,0,0.0024373927153646946,0.012030176733566622,0.00010600165842333809,0.09067381918430328,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
21,144,10000,2000,2000,1,0,0,0.013840622268617153,0.012554513842357846,9.041817975230515e-05,0.1981475055217743,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
22,145,10000,2000,2000,1,0,0,0.012451604008674622,0.012010950395880354,3.3043128496501595e-05,0.1857297122478485,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
23,146,10000,2000,2000,1,0,0,0.021846000105142593,0.012279110956104705,0.0001743216416798532,0.1376122236251831,0.17487645350001912,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
24,147,10000,2000,2000,1,0,0,0.004824466072022915,0.012352212414703172,4.523674215306528e-05,0.1256948709487915,0.17467468374979944,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,148,10000,2000,2000,1,0,0,0.016822917386889458,0.012372465652295796,0.00012777278607245535,0.059191785752773285,0.17467468374979944,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
