trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,1,0,0,0.009012305177748203,0.010839722728189553,2.4081457013380714e-05,0.14947043359279633,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,1,0,0,0.020670369267463684,0.010734421303217459,3.2396863389294595e-05,0.08589785546064377,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,1,0,0,0.009282312355935574,0.010672134302572158,4.4507072743726894e-05,0.2209431678056717,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,1,0,0,0.025071881711483,0.010556938834442553,6.648758426308632e-05,0.13637873530387878,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,1,0,0,0.011993108317255974,0.01094515197526489,0.00014543181168846786,0.15611912310123444,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,1,0,0,0.001515751238912344,0.01134860797945148,6.549875251948833e-05,0.11381614208221436,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,1,0,0,0.025294335559010506,0.010880836403865942,1.6858739400049672e-06,0.17522798478603363,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,1,0,0,0.0075330957770347595,0.01178689424143813,0.00010045601811725646,0.15826278924942017,0.5990647932499087,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,1,0,0,0.012311932630836964,0.010560578420336243,0.0001409152609994635,0.05144454911351204,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,1,0,0,0.01639440841972828,0.01122254942727086,7.360688323387876e-05,0.09107542783021927,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,1,0,0,0.024591494351625443,0.011463857095321509,5.911242260481231e-05,0.25913286209106445,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,1,0,0,0.009851382113993168,0.010795076386875553,3.0392524422495626e-05,0.11560963839292526,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,1,0,0,0.013711939565837383,0.01077667376290192,6.676401244476438e-05,0.05465110391378403,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,1,0,0,0.014812842011451721,0.012096889218734577,0.00016389643133152276,0.18811076879501343,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
14,137,10000,2000,2000,1,0,0,0.020534539595246315,0.01161285093356928,4.555736813927069e-05,0.15047433972358704,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
15,138,10000,2000,2000,1,0,0,0.016899894922971725,0.010226971549126029,2.6334193535149097e-05,0.04382659122347832,0.17382926637492346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
16,139,10000,2000,2000,1,0,0,0.0051031033508479595,0.011723695464809862,0.00010072274744743481,0.1582971066236496,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
17,140,10000,2000,2000,1,0,0,0.011253376491367817,0.011776748139604934,2.9702017855015583e-05,0.11454038321971893,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
18,141,10000,2000,2000,1,0,0,0.015092308633029461,0.011310552696546074,0.00016432558186352253,0.18082234263420105,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
19,142,10000,2000,2000,1,0,0,0.006727671250700951,0.010963340915415029,0.0001484258536947891,0.10651279240846634,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
20,143,10000,2000,2000,1,0,0,0.003993256948888302,0.011201670494239079,0.00012496818089857697,0.09182441234588623,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
21,144,10000,2000,2000,1,0,0,0.013121585361659527,0.01176432735592025,5.4134143283590674e-05,0.1981772929430008,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
22,145,10000,2000,2000,1,0,0,0.010608232580125332,0.011175904030097444,0.00011076794908149168,0.19066619873046875,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
23,146,10000,2000,2000,1,0,0,0.01721411943435669,0.0114707195168834,2.630179369589314e-05,0.13765306770801544,0.17389699199998176,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
24,147,10000,2000,2000,1,0,0,0.0019214254571124911,0.011502928522202274,9.263167885364965e-05,0.12569281458854675,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,148,10000,2000,2000,1,0,0,0.016675539314746857,0.011498595744555496,6.719513476127759e-05,0.05885254964232445,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
26,149,10000,2000,2000,1,0,0,0.01157250814139843,0.011750458542473642,0.00011632529640337452,0.17371413111686707,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
27,150,10000,2000,2000,1,0,0,0.014087194576859474,0.01168631052247365,0.000181260853423737,0.08346027135848999,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
28,151,10000,2000,2000,1,0,0,0.00542577775195241,0.011045756144510232,0.000133992507471703,0.0782569944858551,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
29,152,10000,2000,2000,1,0,0,0.01190730556845665,0.01172018339102724,7.257016113726422e-05,0.20948706567287445,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
30,153,10000,2000,2000,1,0,0,0.0036210394464433193,0.010319597315103601,3.205821121810004e-05,0.06975975632667542,0.17358082024998112,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
