trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,1,0,0,0.01025659590959549,0.010546120970253104,9.078709263121709e-05,0.14744225144386292,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,1,0,0,0.018642667680978775,0.01051631357400729,2.0230487280059606e-05,0.08642235398292542,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,1,0,0,0.009620597586035728,0.010329682535899337,0.0001359195011900738,0.22122187912464142,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,1,0,0,0.02688954770565033,0.010161394963807106,4.8351379518862814e-05,0.13678012788295746,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,1,0,0,0.01407774817198515,0.01061236054294277,6.976259464863688e-05,0.15432339906692505,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,1,0,0,0.0042747980915009975,0.010935470310705568,7.02910401741974e-05,0.11431682854890823,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,1,0,0,0.02327856793999672,0.010452421180117199,2.603024222480599e-05,0.17542624473571777,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,1,0,0,0.006290292367339134,0.011199241757182971,4.9435217079008e-05,0.15821769833564758,0.6029492380000647,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,1,0,0,0.010866950266063213,0.010303936892527418,8.375247853109613e-05,0.042989060282707214,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,1,0,0,0.019255630671977997,0.011026709073665552,6.763779674656689e-05,0.09128139913082123,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,1,0,0,0.024062426760792732,0.011041847404070722,0.00020681791647803038,0.2592238187789917,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,1,0,0,0.009263287298381329,0.01058225056223673,0.00010486135579412803,0.11363722383975983,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,1,0,0,0.01240838784724474,0.010486742073625646,4.248937329975888e-05,0.05464186519384384,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,1,0,0,0.017838601022958755,0.01194749231965543,0.00011404936958570033,0.18725478649139404,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
14,137,10000,2000,2000,1,0,0,0.017147855833172798,0.011190999147970433,8.657516445964575e-05,0.15212342143058777,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
15,138,10000,2000,2000,1,0,0,0.018227189779281616,0.009858670294524927,0.00017084035789594054,0.03807523101568222,0.17458757387498736,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
16,139,10000,2000,2000,1,0,0,0.005275072529911995,0.011382357305490587,7.909462146926671e-05,0.15828216075897217,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
17,140,10000,2000,2000,1,0,0,0.009457642212510109,0.011521157126281833,5.369872451410629e-05,0.11482778936624527,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
18,141,10000,2000,2000,1,0,0,0.01117526926100254,0.010863894484908087,0.0001392270642099902,0.1806119978427887,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
19,142,10000,2000,2000,1,0,0,0.004817939829081297,0.010630136336480427,5.785667963209562e-05,0.10280073434114456,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
20,143,10000,2000,2000,1,0,0,0.00244735274463892,0.010939760148178174,9.778068488230929e-05,0.09085098654031754,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
21,144,10000,2000,2000,1,0,0,0.013907434418797493,0.011517764390721276,0.00010845084034372121,0.1981537789106369,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
22,145,10000,2000,2000,1,0,0,0.01068554911762476,0.010786158721883111,0.0001078959321603179,0.18533799052238464,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
23,146,10000,2000,2000,1,0,0,0.01591816544532776,0.011174039756799902,8.328216790687293e-05,0.1376228928565979,0.1749933506250727,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
24,147,10000,2000,2000,1,0,0,0.0037870740052312613,0.011271217083965893,0.0001563226105645299,0.12569589912891388,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,148,10000,2000,2000,1,0,0,0.014293731190264225,0.011287325005557432,5.529666304937564e-05,0.059367645531892776,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
26,149,10000,2000,2000,1,0,0,0.012969013303518295,0.011350125319444487,4.592637560563162e-05,0.1730927973985672,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
27,150,10000,2000,2000,1,0,0,0.01516049262136221,0.0112515490829388,2.6021505618700758e-05,0.08352050185203552,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
28,151,10000,2000,2000,1,0,0,0.004001353867352009,0.010677440591359118,3.651464430731721e-05,0.0782279372215271,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
29,152,10000,2000,2000,1,0,0,0.012282886542379856,0.011376203065169102,8.431055175606161e-05,0.20582249760627747,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
30,153,10000,2000,2000,1,0,0,0.004572215955704451,0.009945943751242158,8.765765960561112e-05,0.07071571052074432,0.17474735824998788,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
