condition,trials,mean_of_mean_rmse,std_of_mean_rmse,mean_final_rmse,avg_runtime_s,total_runtime_s,mean_collision_count,mean_collision_events_analyzed,mean_collision_peak_rmse,mean_collision_peak_delta_rmse,mean_collision_recovery_time_steps,mean_collision_recovery_success_rate,adaptive_noise_alpha,adaptive_noise_beta,adaptive_noise_gamma,adaptive_noise_smoothing_enabled,scenario
baseline,50.0,0.009890897524203156,0.0006668679712563459,0.009694972222205252,0.35431047474001387,17.715523737000694,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,false,no_collision
noise_alpha_only,50.0,0.011109219476058214,0.000661203737684753,0.01140038998099044,0.3223901707199548,16.11950853599774,0.0,0.0,nan,nan,nan,nan,0.5,0.0,0.0,false,no_collision
noise_jerk_only,50.0,0.010794332676764407,0.0006653239645930771,0.010817261544871145,0.32294213730001503,16.14710686500075,0.0,0.0,nan,nan,nan,nan,0.0,0.2,0.0,false,no_collision
noise_alpha_jerk,50.0,0.01194553339046641,0.0006289769450040504,0.0125039237504825,0.3223122256399802,16.11561128199901,0.0,0.0,nan,nan,nan,nan,0.5,0.2,0.0,false,no_collision
noise_alpha_jerk_raw,50.0,0.01194553339046641,0.0006289769450040504,0.0125039237504825,0.3178691692799475,15.893458463997376,0.0,0.0,nan,nan,nan,nan,0.5,0.2,0.0,false,no_collision
noise_alpha_jerk_smoothed,50.0,0.011919052034830513,0.0006337387998661522,0.012368541402975098,0.3241881585999727,16.209407929998633,0.0,0.0,nan,nan,nan,nan,0.5,0.2,0.8,true,no_collision
baseline,50.0,0.13492006476056087,0.6589495841650779,0.06536888238275423,0.3405602315600481,17.028011578002406,101.76,100.7,0.25585133305083285,0.11080280212749039,30.686887989227802,0.9761390994311125,0.0,0.0,0.0,false,with_collision
noise_alpha_only,50.0,0.025302143088107673,0.0028946338803111944,0.023153770643984897,0.33577130459998444,16.78856522999922,101.76,100.7,0.11121794787593403,0.0857363795139177,20.316106645598975,0.9933533222572276,0.5,0.0,0.0,false,with_collision
noise_jerk_only,50.0,0.01530525812207377,0.001135141214201343,0.014273948697373272,0.3349036853400321,16.745184267001605,101.76,100.7,0.07440619256320974,0.05881475729219957,7.287918996267021,0.9987574446645078,0.0,0.2,0.0,false,with_collision
noise_alpha_jerk,50.0,0.01510420408062941,0.0008846020092550855,0.012894849763251842,0.3344850456999848,16.72425228499924,101.76,100.7,0.06935038205737162,0.05395910707878558,5.595820417556816,0.9993610272190248,0.5,0.2,0.0,false,with_collision
noise_alpha_jerk_raw,50.0,0.01510420408062941,0.0008846020092550855,0.012894849763251842,0.3337436646799688,16.68718323399844,101.76,100.7,0.06935038205737162,0.05395910707878558,5.595820417556816,0.9993610272190248,0.5,0.2,0.0,false,with_collision
noise_alpha_jerk_smoothed,50.0,0.018072243371367157,0.001137467613878812,0.015759103358723225,0.33811183713998616,16.905591856999308,101.76,100.7,0.09976067567136349,0.08132162286120696,9.723757868288534,0.9987501857950767,0.5,0.2,0.8,true,with_collision
