trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,1,0,1,0.004129217006266117,0.014453213219540339,0.00011097097740275785,0.18996669352054596,0.6499996539998847,107.0,104.0,0.06755637440185708,0.051828471943736076,0.051557711496490397,4.355769230769231,2.0,1.0,0.03798518563343141
1,1000124,10000,2000,2000,1,0,1,0.023339709267020226,0.014871436092704244,0.00011181450099684298,0.18036651611328125,0.6499996539998847,118.0,118.0,0.06250620821206751,0.05679246969521046,0.047927409680612036,5.093220338983051,2.0,1.0,0.0355776764461534
2,1000125,10000,2000,2000,1,0,1,0.01670164242386818,0.015951411290465876,2.090483576466795e-05,0.1754654198884964,0.6499996539998847,110.0,110.0,0.06740590687841178,0.05738956667482853,0.04970340794054209,5.6,2.0,1.0,0.041595612535168525
3,1000126,10000,2000,2000,1,0,1,0.00949067808687687,0.014043236080454517,0.00011430175072746351,0.16157998144626617,0.6499996539998847,105.0,101.0,0.07187893221357672,0.06256990879774094,0.05798665405381332,5.376237623762377,3.0,1.0,0.03592748519727075
4,1000127,10000,2000,2000,1,0,1,0.0017192529048770666,0.016060251501453605,6.397796823875979e-05,0.3049507737159729,0.6499996539998847,105.0,104.0,0.06970346749473649,0.0644351989030838,0.051772172836511414,5.403846153846154,1.0,1.0,0.04249815625672525
5,1000128,10000,2000,2000,1,0,1,0.014393831603229046,0.01545563035291816,4.185078068985604e-05,0.33576175570487976,0.6499996539998847,111.0,109.0,0.07590654712819725,0.06691782921552658,0.05828590701804647,5.577981651376147,3.0,1.0,0.0414057159079068
6,1000129,10000,2000,2000,1,0,1,0.012430453673005104,0.015304273163802645,3.708922668010928e-05,0.30762428045272827,0.6499996539998847,99.0,98.0,0.07974139319694772,0.061161722987890244,0.06473045104161874,7.448979591836735,3.5,1.0,0.036642609930262256
7,1000130,10000,2000,2000,1,0,1,0.00818374752998352,0.01368186438102566,0.0001846893283072859,0.18359649181365967,0.6499996539998847,92.0,90.0,0.06052063438627455,0.0510620828717947,0.04646312488244601,4.6,3.0,1.0,0.03489104806177137
8,1000131,10000,2000,2000,1,0,1,0.005438424646854401,0.015479874198562902,0.00010390578972874209,0.17477606236934662,0.17598157649990753,111.0,107.0,0.0726301383540452,0.06475668400526047,0.057578390434634044,5.869158878504673,3.0,1.0,0.03738612691728207
9,1000132,10000,2000,2000,1,0,1,0.01567208394408226,0.013753345676606113,7.630884647369385e-05,0.18022994697093964,0.17598157649990753,82.0,82.0,0.056374639000107606,0.04701152443885803,0.04373387415982461,4.475609756097561,2.0,1.0,0.03264535806102042
10,1000133,10000,2000,2000,1,0,1,0.015554803423583508,0.016480301532282464,7.571056630695239e-05,0.21474367380142212,0.17598157649990753,120.0,118.0,0.06851216179902776,0.06383909657597542,0.05135585854019402,6.813559322033898,2.0,1.0,0.04009039565657417
11,1000134,10000,2000,2000,1,0,1,0.04741530865430832,0.014281769762669138,3.946529614040628e-05,0.1574099212884903,0.17598157649990753,95.0,92.0,0.06211660348850748,0.05290214717388153,0.045719447288059246,4.5054945054945055,2.0,0.9891304347826086,0.039200401580107964
12,1000135,10000,2000,2000,1,0,1,0.01727689616382122,0.014685867284728739,1.3486991520039737e-05,0.17283959686756134,0.17598157649990753,97.0,96.0,0.07204727411347751,0.0659639835357666,0.05707439038896975,5.375,3.0,1.0,0.03621916719209242
13,1000136,10000,2000,2000,1,0,1,0.01685022935271263,0.014986269842293405,0.000144639823702164,0.2339937686920166,0.17598157649990753,83.0,82.0,0.06440929009965281,0.052167344838380814,0.050131240848323357,5.939024390243903,3.0,1.0,0.03538902733080293
14,1000137,10000,2000,2000,1,0,1,0.0031829497311264277,0.014761962155921356,3.8659483834635466e-05,0.15730077028274536,0.17598157649990753,96.0,96.0,0.07314395558205433,0.06978461146354675,0.05827196874318664,5.822916666666667,3.0,1.0,0.03666537448122957
15,1000138,10000,2000,2000,1,0,1,0.005400287453085184,0.01556163994888775,0.00010851951810764149,0.2905634939670563,0.17598157649990753,87.0,87.0,0.06506419567198589,0.04938558116555214,0.04825554541758193,5.793103448275862,2.0,1.0,0.04041151584566738
16,1000139,10000,2000,2000,1,0,1,0.011199475266039371,0.016180651154492808,0.00018023182929027826,0.19434835016727448,0.17580197600000247,112.0,111.0,0.07218673310938988,0.06162992864847183,0.05506524833108415,7.1891891891891895,2.0,1.0,0.04172212835433811
17,1000140,10000,2000,2000,1,0,1,0.01590190827846527,0.015310219953053456,0.00016587157733738422,0.1893426477909088,0.17580197600000247,87.0,87.0,0.07622861032556186,0.07034730911254883,0.059490301755782835,6.666666666666667,3.0,1.0,0.039413678210587284
18,1000141,10000,2000,2000,1,0,1,0.018594006076455116,0.014497977055297815,0.0001455928577343002,0.16100060939788818,0.17580197600000247,98.0,96.0,0.0666895059403032,0.06127142161130905,0.05281125754687915,5.395833333333333,2.0,1.0,0.0345906229603861
19,1000142,10000,2000,2000,1,0,1,0.003585259895771742,0.016334209551560345,0.00013038510223850608,0.3641403019428253,0.17580197600000247,102.0,102.0,0.06808659293707095,0.06334348767995834,0.051215695749416736,5.8431372549019605,2.0,1.0,0.04152552136462002
20,1000143,10000,2000,2000,1,0,1,0.002649999689310789,0.013235333998002898,8.762539800954983e-05,0.21993789076805115,0.17580197600000247,87.0,85.0,0.07171104263295146,0.06320131570100784,0.05923532052569926,4.117647058823529,2.0,1.0,0.032720023525221374
21,1000144,10000,2000,2000,1,0,1,0.004298082552850246,0.015366305714964255,0.00010397291771369055,0.1678842157125473,0.17580197600000247,104.0,103.0,0.0731335567418956,0.0680047869682312,0.056904654276909196,4.631067961165049,2.0,1.0,0.03834541461488132
22,1000145,10000,2000,2000,1,0,1,0.013075977563858032,0.014591283177817512,4.046097274112981e-06,0.17798037827014923,0.17580197600000247,106.0,104.0,0.05933448194096295,0.054730501025915146,0.04621643659022582,3.7115384615384617,2.0,1.0,0.03399059080168417
23,1000146,10000,2000,2000,1,0,1,0.02270248346030712,0.01363949544805073,0.0001242158468812704,0.16785122454166412,0.17580197600000247,86.0,86.0,0.06325168576264797,0.0581628754734993,0.048729043274664055,4.976744186046512,3.0,1.0,0.03577230466609593
24,1000147,10000,2000,2000,1,0,1,0.004191744606941938,0.014329317039308807,6.463914178311825e-05,0.12935087084770203,0.17571265400010816,102.0,102.0,0.06718161060273939,0.06571132317185402,0.05301150914267911,5.647058823529412,3.0,1.0,0.035892891358063714
25,1000148,10000,2000,2000,1,0,1,0.01332204882055521,0.015735174850941985,8.828636782709509e-05,0.3314978778362274,0.17571265400010816,107.0,107.0,0.06777161353694222,0.05889197438955307,0.05096606881386697,5.626168224299065,2.0,1.0,0.039808245702498725
