trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,1,0,1,0.05384572222828865,0.027444258503512536,4.929790520691313e-05,0.3086305260658264,0.6534110991249236,107.0,104.0,0.11701676190400925,0.10608655959367752,0.0886830333843066,19.699029126213592,8.0,0.9903846153846154,0.06215409240054075
1,1000124,10000,2000,2000,1,0,1,0.021693749353289604,0.025639421464395126,0.00023018402862362564,0.24401000142097473,0.6534110991249236,118.0,118.0,0.11353913459421719,0.11040954291820526,0.08647530470698256,22.279661016949152,11.5,1.0,0.059111832135506935
2,1000125,10000,2000,2000,1,0,1,0.018262235447764397,0.029728554779235857,0.00030250291456468403,0.3032683730125427,0.6534110991249236,110.0,110.0,0.12257647395811298,0.11681923270225525,0.08907935480371552,17.30841121495327,7.0,0.9727272727272728,0.0713844120747103
3,1000126,10000,2000,2000,1,0,1,0.04251245781779289,0.027139495578633797,7.871424895711243e-05,0.33500996232032776,0.6534110991249236,105.0,101.0,0.12209018251609684,0.10937774181365967,0.09393070421046473,18.04,11.0,0.9900990099009901,0.06198242120117429
4,1000127,10000,2000,2000,1,0,1,0.0025788217317312956,0.02837327352170687,0.00013416675210464746,0.32709863781929016,0.6534110991249236,105.0,104.0,0.11779412238572079,0.09990303218364716,0.08454737022681141,24.271844660194176,8.0,0.9903846153846154,0.07150859182640909
5,1000128,10000,2000,2000,1,0,1,0.01153380237519741,0.026936384335735784,0.00011565881868591532,0.35107555985450745,0.6534110991249236,111.0,109.0,0.11556561492861958,0.11296865344047546,0.08329781142226046,17.14814814814815,9.5,0.9908256880733946,0.06927053627666993
6,1000129,10000,2000,2000,1,0,1,0.011910894885659218,0.022538191142670985,0.0001380490866722539,0.31627973914146423,0.6534110991249236,99.0,98.0,0.11393991247655785,0.10825985670089722,0.0944167016722661,20.70408163265306,13.0,1.0,0.045111580254725066
7,1000130,10000,2000,2000,1,0,1,0.000955119205173105,0.021418136741807394,0.00012179164332337677,0.21093100309371948,0.6534110991249236,92.0,90.0,0.0998146834058894,0.09409789741039276,0.07602925921544537,17.355555555555554,12.5,1.0,0.05246741834163875
8,1000131,10000,2000,2000,1,0,1,0.007120278663933277,0.029198683062817872,8.190311200451106e-05,0.3385953903198242,0.1758794002500963,111.0,107.0,0.12190186498669263,0.11747486144304276,0.09460241616603336,22.44859813084112,13.0,1.0,0.05998572770114466
9,1000132,10000,2000,2000,1,0,1,0.015929950401186943,0.0193767256000463,2.368877721892204e-05,0.17360876500606537,0.1758794002500963,82.0,82.0,0.08568366719182671,0.08048731833696365,0.06862281031179719,15.341463414634147,12.0,1.0,0.04051315405357788
10,1000133,10000,2000,2000,1,0,1,0.01566796563565731,0.03644091664659063,0.00010388485679868609,0.4741906225681305,0.1758794002500963,120.0,118.0,0.1250895656392736,0.12029879540205002,0.09314679515115071,24.026086956521738,11.0,0.9745762711864406,0.06814003256093357
11,1000134,10000,2000,2000,1,0,1,0.05446380376815796,0.023099040627470823,0.00021586770890280604,0.22519852221012115,0.1758794002500963,95.0,92.0,0.11476355515744376,0.1041160598397255,0.08954460000427586,18.292134831460675,9.0,0.967391304347826,0.05547513881283206
12,1000135,10000,2000,2000,1,0,1,0.07896524667739868,0.026141953747160006,7.918696064734831e-05,0.23356175422668457,0.1758794002500963,97.0,96.0,0.1157761351399434,0.11898374557495117,0.0910491933472704,22.410526315789475,12.0,0.9895833333333334,0.054663230641583106
13,1000136,10000,2000,2000,1,0,1,0.023620951920747757,0.023816136957201525,0.00013298372505232692,0.24683424830436707,0.1758794002500963,83.0,82.0,0.10841696495871718,0.10536199063062668,0.08362147001472939,21.419753086419753,12.0,0.9878048780487805,0.05517665200618312
14,1000137,10000,2000,2000,1,0,1,0.07977261394262314,0.024877633674384197,3.705396011355333e-05,0.3053024113178253,0.1758794002500963,96.0,96.0,0.12504236933697635,0.12581607699394226,0.09777968652312363,20.83157894736842,12.0,0.9895833333333334,0.059862066740709756
15,1000138,10000,2000,2000,1,0,1,0.0034359614364802837,0.025097137000785735,0.00015497069398406893,0.24705570936203003,0.1758794002500963,87.0,87.0,0.10479204232494037,0.09846929460763931,0.07715100747588562,20.430232558139537,9.0,0.9885057471264368,0.06028338106234927
16,1000139,10000,2000,2000,1,0,1,0.012070543132722378,0.026030313441528414,0.00014532939530909061,0.2827519178390503,0.17599505812495408,112.0,111.0,0.10855101284713627,0.10198887437582016,0.08280813639543745,18.227272727272727,10.5,0.990990990990991,0.05689749860328951
17,1000140,10000,2000,2000,1,0,1,0.01452048122882843,0.023208778267320304,0.00014778105833102018,0.22943806648254395,0.17599505812495408,87.0,87.0,0.11090780899528115,0.10676030814647675,0.0859514831240495,21.413793103448278,13.0,1.0,0.05480727041694177
18,1000141,10000,2000,2000,1,0,1,0.09259840101003647,0.021194970336892584,0.00015263109526131302,0.15897619724273682,0.17599505812495408,98.0,96.0,0.1004517952290674,0.10341795906424522,0.08110510777610215,18.526315789473685,9.0,0.9895833333333334,0.04442968219020865
19,1000142,10000,2000,2000,1,0,1,0.004065619315952063,0.023824207180738084,4.615724537870847e-05,0.364010214805603,0.17599505812495408,102.0,102.0,0.09927601867592802,0.0948212593793869,0.0755428287683411,16.80392156862745,11.0,1.0,0.05372428793482958
20,1000143,10000,2000,2000,1,0,1,0.00145246391184628,0.02091228433627548,7.41968397051096e-05,0.2800798714160919,0.17599505812495408,87.0,85.0,0.10730880501077456,0.10721732676029205,0.08954033527913613,19.31764705882353,14.0,1.0,0.04246646784769151
21,1000144,10000,2000,2000,1,0,1,0.0023295676801353693,0.025139930878537414,7.000600453466177e-05,0.2656068801879883,0.17599505812495408,104.0,103.0,0.11460623949838494,0.11377279460430145,0.0897543762909637,23.932038834951456,11.0,1.0,0.05443879862432934
22,1000145,10000,2000,2000,1,0,1,0.01410374604165554,0.02403668023610662,0.00015380492550320923,0.3022453784942627,0.17599505812495408,106.0,104.0,0.10711002691935462,0.09600462764501572,0.08446630024784378,21.125,11.0,1.0,0.05093885199745554
23,1000146,10000,2000,2000,1,0,1,0.02808779664337635,0.020940997749705276,7.572558388346806e-05,0.1753806322813034,0.17599505812495408,86.0,86.0,0.10523582546603541,0.10789687186479568,0.08319320051665526,18.709302325581394,11.0,1.0,0.04971363730196636
24,1000147,10000,2000,2000,1,0,1,0.003213847056031227,0.023796625253089586,8.655550482217222e-05,0.1971999853849411,0.17549830862503768,102.0,102.0,0.09898625157189135,0.09615489840507507,0.07581407196917364,18.693069306930692,7.0,0.9901960784313726,0.05130051688315671
25,1000148,10000,2000,2000,1,0,1,0.01039095502346754,0.0251787907474667,9.52362097450532e-05,0.31751158833503723,0.17549830862503768,107.0,107.0,0.10804407673705126,0.10042207688093185,0.0830979197497514,17.37735849056604,10.0,0.9906542056074766,0.05483771030118725
26,1000149,10000,2000,2000,1,0,1,0.0179451871663332,0.02553834364033246,0.00012548021913971752,0.2513842284679413,0.17549830862503768,101.0,100.0,0.12224191418848931,0.11151336878538132,0.09953762273181928,23.74,13.0,1.0,0.050721278911526314
27,1000150,10000,2000,2000,1,0,1,0.02228246070444584,0.02751051205899821,3.817080505541526e-05,0.23621228337287903,0.17549830862503768,109.0,109.0,0.1150113726120203,0.11474087834358215,0.08585514817451836,22.632075471698112,12.0,0.9724770642201835,0.06330655848745555
28,1000151,10000,2000,2000,1,0,1,0.02429427206516266,0.02363239175204435,5.562566366279498e-05,0.22492839395999908,0.17549830862503768,94.0,94.0,0.10691768850417847,0.1122065857052803,0.08525811934371805,19.29787234042553,11.0,1.0,0.04949572681865478
29,1000152,10000,2000,2000,1,0,1,0.008599366061389446,0.02276221170324352,8.62146116560325e-05,0.19987264275550842,0.17549830862503768,101.0,100.0,0.10476585812866687,0.11499535292387009,0.07878109266923275,20.54,10.0,1.0,0.05746234401883558
30,1000153,10000,2000,2000,1,0,1,0.07799912244081497,0.024252359200510547,0.0002000401436816901,0.20207969844341278,0.17549830862503768,102.0,102.0,0.10111977800946026,0.09596804901957512,0.07852862699393312,20.68,9.0,0.9803921568627451,0.04997068860280492
31,1000154,10000,2000,2000,1,0,1,0.017584022134542465,0.026616407745909235,0.00013624739949591458,0.2870798707008362,0.17549830862503768,112.0,110.0,0.11567841356789524,0.1137058362364769,0.092016705319759,23.9,12.0,1.0,0.052127198670694444
32,1000155,10000,2000,2000,1,0,1,0.030608749017119408,0.02633217661355884,0.00010343739995732903,0.19817940890789032,0.17572592525016262,112.0,112.0,0.1085091981970306,0.11533328890800476,0.08420239820243294,19.455357142857142,9.5,1.0,0.05338899290347139
33,1000156,10000,2000,2000,1,0,1,0.04516000300645828,0.024917695487806486,9.578612662153319e-05,0.19988788664340973,0.17572592525016262,100.0,98.0,0.11114064151687282,0.1067047007381916,0.08654859878978993,23.02061855670103,12.0,0.9897959183673469,0.0549750040587494
34,1000157,10000,2000,2000,1,0,1,0.021985003724694252,0.028248049000721948,0.00015269513824023306,0.2785862684249878,0.17572592525016262,110.0,109.0,0.122200506901659,0.11812642216682434,0.09632209992842451,24.486238532110093,13.0,1.0,0.05723285793091829
35,1000158,10000,2000,2000,1,0,1,0.007816958241164684,0.02834528750922109,9.312267502536997e-05,0.2724161744117737,0.17572592525016262,99.0,97.0,0.11939357795282123,0.11165756732225418,0.09215778533781707,28.804123711340207,10.0,1.0,0.059336590288967844
36,1000159,10000,2000,2000,1,0,1,0.005038231611251831,0.027881033127992852,8.746875391807407e-05,0.3261295557022095,0.17572592525016262,110.0,108.0,0.11767325836613222,0.11939166858792305,0.08709852344431798,21.416666666666668,9.5,1.0,0.06659991749282065
37,1000160,10000,2000,2000,1,0,1,0.01749909482896328,0.026817704179746944,7.282975275302306e-05,0.27026301622390747,0.17572592525016262,118.0,117.0,0.10789406095814501,0.1009213924407959,0.077504342971484,16.615384615384617,8.0,1.0,0.06538330589133548
38,1000161,10000,2000,2000,1,0,1,0.004002048633992672,0.024071772309634254,8.232974505517632e-05,0.2100755274295807,0.17572592525016262,112.0,112.0,0.10731010742685092,0.10520634055137634,0.0835564719012317,16.803571428571427,10.0,1.0,0.0527904706037433
39,1000162,10000,2000,2000,1,0,1,0.02043994888663292,0.02016549198735629,9.440893336432055e-06,0.21124036610126495,0.17572592525016262,82.0,82.0,0.09771799845848142,0.10152367502450943,0.0790326200014622,18.121951219512194,11.5,1.0,0.044640140534213904
40,1000163,10000,2000,2000,1,0,1,0.05796727165579796,0.023507241315968715,7.873735012253746e-05,0.21939292550086975,0.17533065187490138,84.0,84.0,0.10217570344961825,0.09733134508132935,0.08249278982946723,21.096385542168676,13.0,0.9880952380952381,0.045034854826129345
41,1000164,10000,2000,2000,1,0,1,0.007061710115522146,0.02331552564501726,0.0,0.23553089797496796,0.17533065187490138,89.0,89.0,0.10632818489429656,0.1080489307641983,0.07900173060999519,17.59090909090909,8.0,0.9887640449438202,0.06093798871288139
42,1000165,10000,2000,2000,1,0,1,0.0499124675989151,0.028771733358384517,0.0002364968095207587,0.41081345081329346,0.17533065187490138,104.0,103.0,0.11467031570314204,0.10975194722414017,0.09028394857969123,21.65686274509804,11.0,0.9902912621359223,0.055329972231326616
43,1000166,10000,2000,2000,1,0,1,0.02013515494763851,0.026672150317170962,4.046097456011921e-05,0.2623392343521118,0.17533065187490138,115.0,114.0,0.11816996669298724,0.11479735001921654,0.08946908377940674,17.625,11.0,0.9824561403508771,0.06152414130933355
44,1000167,10000,2000,2000,1,0,1,0.016686314716935158,0.027338590232289788,4.31583721365314e-05,0.21077364683151245,0.17533065187490138,132.0,130.0,0.11198389318126899,0.1096489429473877,0.08144148343775529,16.93798449612403,7.0,0.9923076923076923,0.0649975657754739
45,1000168,10000,2000,2000,1,0,1,0.0062270513735711575,0.026847143901104573,0.0002613621181808412,0.3276185989379883,0.17533065187490138,100.0,98.0,0.11603274798895023,0.10441995039582253,0.08877892378148157,21.175257731958762,12.0,0.9897959183673469,0.059780633323319066
46,1000169,10000,2000,2000,1,0,1,0.005725800525397062,0.02325261763248418,0.00021140859462320805,0.24232766032218933,0.17533065187490138,84.0,83.0,0.11454600995653365,0.11070997267961502,0.0919270902371009,24.16867469879518,16.0,1.0,0.050405233455232804
47,1000170,10000,2000,2000,1,0,1,0.012846124358475208,0.026443794705428444,9.661101648816839e-05,0.2302079051733017,0.17533065187490138,102.0,100.0,0.1121351258084178,0.10342391207814217,0.08654231794601948,23.35,13.0,1.0,0.057586378643591896
48,1000171,10000,2000,2000,1,0,1,0.023777661845088005,0.026110180523446616,7.912623550510034e-05,0.2884427011013031,2.2669208419993083,109.0,109.0,0.10565433541842557,0.10477951169013977,0.07855160702788243,18.577981651376145,9.0,1.0,0.06012943633011791
49,1000172,10000,2000,2000,1,0,1,0.01099151000380516,0.024227218645195534,8.047182927839458e-05,0.35672441124916077,2.2669208419993083,98.0,98.0,0.11734582405841472,0.1169484406709671,0.08867856590317172,17.979591836734695,10.0,1.0,0.06275770954237861
