trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,1,0,1,0.0020868652500212193,0.014616378373660336,3.641487637651153e-05,0.21314576268196106,0.6507659915000659,107.0,104.0,0.07259449348426782,0.058990927413105965,0.05559495087554052,6.269230769230769,2.0,1.0,0.04074066556640901
1,1000124,10000,2000,2000,1,0,1,0.019470959901809692,0.014621211692803627,0.00011950277985306457,0.16012994945049286,0.6507659915000659,118.0,118.0,0.06591928456673178,0.06241513416171074,0.0515070479518588,6.567796610169491,3.0,1.0,0.035982206897529935
2,1000125,10000,2000,2000,1,0,1,0.013312039896845818,0.016415537893606596,6.031401062500663e-05,0.17958109080791473,0.6507659915000659,110.0,110.0,0.07240418275310234,0.06232868507504463,0.05486070372124562,7.327272727272727,2.0,1.0,0.0419643846016208
3,1000126,10000,2000,2000,1,0,1,0.009828692302107811,0.014645943465379242,9.660778596298769e-05,0.1642223298549652,0.6507659915000659,105.0,101.0,0.07864038955125183,0.07630717754364014,0.06406121868735996,7.227722772277228,4.0,1.0,0.037725863744191235
4,1000127,10000,2000,2000,1,0,1,0.0024275078903883696,0.01593447907022528,4.840425754082389e-05,0.28221645951271057,0.6507659915000659,105.0,104.0,0.07357137612640284,0.0665932260453701,0.05601024226864236,6.980769230769231,3.0,1.0,0.04302021983943772
5,1000128,10000,2000,2000,1,0,1,0.014562388882040977,0.01641551789600344,9.881925507215783e-05,0.35265621542930603,0.6507659915000659,111.0,109.0,0.08222152766933956,0.07340505719184875,0.06322818895294054,8.247706422018348,3.0,1.0,0.04493388107885958
6,1000129,10000,2000,2000,1,0,1,0.01134658232331276,0.015305646673196316,0.00011413254105718806,0.3081986606121063,0.6507659915000659,99.0,98.0,0.08486590198032101,0.0677785612642765,0.07028220623762202,9.33673469387755,5.0,1.0,0.03683971432816921
7,1000130,10000,2000,2000,1,0,1,0.005833087954670191,0.013505287884212158,0.00019503776275087148,0.1706787794828415,0.6507659915000659,92.0,90.0,0.06513465746409364,0.05950243957340717,0.05048304368830738,5.6,3.0,1.0,0.03658367851293749
8,1000131,10000,2000,2000,1,0,1,0.0041070422157645226,0.015854311767830222,6.454937829403207e-05,0.17125555872917175,0.17581939000001512,111.0,107.0,0.07945648819277777,0.07468163222074509,0.06422547606911326,7.08411214953271,3.0,1.0,0.038780643920997324
9,1000132,10000,2000,2000,1,0,1,0.01507891807705164,0.01307887206821324,0.0001051985309459269,0.17316438257694244,0.17581939000001512,82.0,82.0,0.05992479068113536,0.0549599826335907,0.04817916119669773,4.7317073170731705,2.0,1.0,0.03260455492847008
10,1000133,10000,2000,2000,1,0,1,0.013042638078331947,0.016837955217788112,0.00017171434592455626,0.21019424498081207,0.17581939000001512,120.0,118.0,0.07380563377450078,0.07103479653596878,0.055601425397123996,9.23728813559322,3.0,1.0,0.042892720951270565
11,1000134,10000,2000,2000,1,0,1,0.04458477348089218,0.014062021194471527,2.0509542082436383e-05,0.15714947879314423,0.17581939000001512,95.0,92.0,0.06814435154766492,0.06240956485271454,0.05176218780709505,5.516483516483516,2.0,0.9891304347826086,0.04018736190076553
12,1000135,10000,2000,2000,1,0,1,0.022930186241865158,0.015230870769307512,7.706882752245292e-05,0.17848215997219086,0.17581939000001512,97.0,96.0,0.07819919431737314,0.07748053967952728,0.06303368188935914,7.958333333333333,4.0,1.0,0.03763246466676328
13,1000136,10000,2000,2000,1,0,1,0.014894827269017696,0.014722242722511873,0.00010756668052636087,0.23306606709957123,0.17581939000001512,83.0,82.0,0.0701435309176038,0.06360924988985062,0.05559922892549898,8.402439024390244,4.0,1.0,0.03641729404942541
