trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,1,0,0,0.011382631957530975,0.01150092149041011,0.000100622812169604,0.14676912128925323,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,1,0,0,0.020434744656085968,0.011558726519619813,0.00017835493781603873,0.08660009503364563,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,1,0,0,0.011051778681576252,0.011667282902393345,6.305168062681332e-05,0.2211569845676422,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,1,0,0,0.027669982984662056,0.011329088859948024,4.6196637413231656e-05,0.13683626055717468,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,1,0,0,0.014717210084199905,0.01163843818832538,3.222842497052625e-05,0.1541457623243332,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,1,0,0,0.0038408369291573763,0.011974819956357897,3.882051896653138e-05,0.11448656767606735,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,1,0,0,0.023415792733430862,0.011548572606406743,3.44252803188283e-05,0.17549321055412292,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,1,0,0,0.01082893367856741,0.0124593701651851,9.73168425844051e-05,0.15813857316970825,0.6063449732500885,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,1,0,0,0.01289344485849142,0.011338627702031227,0.00012195523595437407,0.051356080919504166,0.1781768816249496,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,1,0,0,0.021851250901818275,0.011953556790030417,6.970390677452087e-05,0.09136789292097092,0.1781768816249496,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,1,0,0,0.02827838435769081,0.012243662698281695,0.0001906216493807733,0.25924667716026306,0.1781768816249496,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,1,0,0,0.008825360797345638,0.0117337273675701,0.00022383384930435568,0.11096986383199692,0.1781768816249496,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,1,0,0,0.013821513392031193,0.011563511443195602,9.688598947832361e-05,0.054638657718896866,0.1781768816249496,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,1,0,0,0.015270715579390526,0.012983605852864274,7.444541552104056e-05,0.18667761981487274,0.1781768816249496,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
