trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,0,1,0,0.010216514579951763,0.00967694126276001,2.7804144338006154e-05,0.14978915452957153,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,0,1,0,0.019081057980656624,0.009552711499575707,1.1463942428235896e-05,0.08572546392679214,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,0,1,0,0.009873263537883759,0.009495365598847274,8.11604259070009e-05,0.2210187017917633,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,0,1,0,0.021432744339108467,0.009322558156233935,4.19887546740938e-05,0.13632646203041077,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,0,1,0,0.01210394874215126,0.00981996143340948,6.392486102413386e-05,0.15693432092666626,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,0,1,0,0.002466114005073905,0.009970728283171412,5.01189824717585e-05,0.11365342885255814,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,0,1,0,0.019245920702815056,0.009508456604301682,4.2821196984732524e-05,0.17516213655471802,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,0,1,0,0.006472265813499689,0.010489595397692028,7.810892566340044e-05,0.1583206206560135,0.6012360843751594,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,0,1,0,0.011251186020672321,0.009235745666739967,9.846427565207705e-05,0.039009083062410355,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,0,1,0,0.014019189402461052,0.009991271639195474,0.00010986220877384767,0.09098415821790695,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,0,1,0,0.021727118641138077,0.010116926186319325,0.0001264940365217626,0.25909584760665894,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,0,1,0,0.00994085893034935,0.009691839277681628,9.27690325625008e-06,0.11740756034851074,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,0,1,0,0.011318005621433258,0.009622889247004059,9.922338358592242e-05,0.054885149002075195,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,0,1,0,0.017335625365376472,0.010995598867258377,9.440171561436728e-05,0.18866656720638275,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
14,137,10000,2000,2000,0,1,0,0.015879610553383827,0.010329621955721813,0.00020231190137565136,0.15044164657592773,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
15,138,10000,2000,2000,0,1,0,0.015315753407776356,0.008954939794891833,6.36180120636709e-05,0.03545581176877022,0.1776173793750786,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
16,139,10000,2000,2000,0,1,0,0.0036601522006094456,0.010576453154712362,4.209691542200744e-05,0.15780462324619293,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
17,140,10000,2000,2000,0,1,0,0.008513394743204117,0.010561723374600842,9.425527969142422e-05,0.11381427943706512,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
18,141,10000,2000,2000,0,1,0,0.011656115762889385,0.009927901927838684,0.00015097446157597005,0.18085409700870514,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
19,142,10000,2000,2000,0,1,0,0.004017675295472145,0.009582856712915963,6.462242890847847e-05,0.10809414088726044,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
20,143,10000,2000,2000,0,1,0,0.001791181042790413,0.010050971238072089,0.00010065457900054753,0.09175204485654831,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
21,144,10000,2000,2000,0,1,0,0.01163901761174202,0.010698675488699155,3.3825202990556136e-05,0.19818411767482758,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
22,145,10000,2000,2000,0,1,0,0.007964570075273514,0.00990823185873669,7.358757284237072e-05,0.19193315505981445,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
23,146,10000,2000,2000,0,1,0,0.013968837447464466,0.01028027055053426,3.919647861039266e-05,0.13766172528266907,0.17807460712492684,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
24,147,10000,2000,2000,0,1,0,0.0035068513825535774,0.010435559157962416,8.327756222570315e-05,0.12569306790828705,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,148,10000,2000,2000,0,1,0,0.01406615599989891,0.010277565402455729,9.440893336432055e-06,0.058754563331604004,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
26,149,10000,2000,2000,0,1,0,0.012565708719193935,0.010228185414684413,0.00015014399832580239,0.17392264306545258,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
27,150,10000,2000,2000,0,1,0,0.011682708747684956,0.010424511591571354,5.192929529584944e-05,0.08344026654958725,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
28,151,10000,2000,2000,0,1,0,0.0050683519802987576,0.009652832367235896,4.18096715293359e-05,0.07826533168554306,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
29,152,10000,2000,2000,0,1,0,0.011002694256603718,0.010459811340314627,0.00012358192179817706,0.2103721797466278,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
30,153,10000,2000,2000,0,1,0,0.002028831746429205,0.009112592328251049,8.678964513819665e-05,0.06938902288675308,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
31,154,10000,2000,2000,0,1,0,0.0031785466708242893,0.008016446893648083,0.0,0.20345908403396606,0.1786776222500066,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
