trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,1,1,1,0.004129217006266117,0.014453220010818769,0.00011097097740275785,0.18996675312519073,0.633693349250052,107.0,104.0,0.06755636387074795,0.05182839184999466,0.05155767741240687,4.355769230769231,2.0,1.0,0.03798518553470226
1,1000124,10000,2000,2000,1,1,1,0.02333904802799225,0.014871440737662488,0.00011181450099684298,0.18036580085754395,0.633693349250052,118.0,118.0,0.06250617607354612,0.056792380288243294,0.047927367140356954,5.093220338983051,2.0,1.0,0.03557768576786365
2,1000125,10000,2000,2000,1,1,1,0.01670166291296482,0.015951408136978533,2.090483576466795e-05,0.1754654198884964,0.633693349250052,110.0,110.0,0.06740597772665999,0.05738953873515129,0.04970347512255433,5.6,2.0,1.0,0.04159562665401875
3,1000126,10000,2000,2000,1,1,1,0.009490838274359703,0.014043227014700097,0.00011430175072746351,0.16157998144626617,0.633693349250052,105.0,101.0,0.07187892507651064,0.06256990879774094,0.057986663614623325,5.376237623762377,3.0,1.0,0.035927477726403916
4,1000127,10000,2000,2000,1,1,1,0.0017199235735461116,0.01606025995403761,6.379735714290291e-05,0.304950088262558,0.633693349250052,105.0,104.0,0.06970345467114104,0.0644351989030838,0.05177215898099977,5.403846153846154,1.0,1.0,0.04249816279797905
5,1000128,10000,2000,2000,1,1,1,0.014393831603229046,0.01545563460904923,4.185078068985604e-05,0.33576175570487976,0.633693349250052,111.0,109.0,0.0759065609869607,0.06691770255565643,0.05828590991922442,5.577981651376147,3.0,1.0,0.04140572716612285
6,1000129,10000,2000,2000,1,1,1,0.012430197559297085,0.01530426466384124,3.708922668010928e-05,0.3076242506504059,0.633693349250052,99.0,98.0,0.079741237609058,0.061161722987890244,0.06473028815454775,7.448979591836735,3.5,1.0,0.03664260364341911
7,1000130,10000,2000,2000,1,1,1,0.008184094913303852,0.013681861974892672,0.0001847555540734902,0.18359649181365967,0.633693349250052,92.0,90.0,0.06052064494126373,0.05106212943792343,0.04646314517704013,4.6,3.0,1.0,0.034891039129353076
8,1000131,10000,2000,2000,1,1,1,0.005436463747173548,0.015479872782299208,0.0001025755555019714,0.17477646470069885,0.17428923074999148,111.0,107.0,0.07263020610558653,0.06475668400526047,0.05757847350188934,5.869158878504673,3.0,1.0,0.03738611845900175
9,1000132,10000,2000,2000,1,1,1,0.01567208394408226,0.013753339301094092,7.630884647369385e-05,0.1802297830581665,0.17428923074999148,82.0,82.0,0.05637468365816081,0.04701203852891922,0.04373392676890234,4.475609756097561,2.0,1.0,0.032645350172036756
10,1000133,10000,2000,2000,1,1,1,0.015553848817944527,0.016480306938738067,7.571056630695239e-05,0.21474367380142212,0.17428923074999148,120.0,118.0,0.0685121201736442,0.0638391338288784,0.05135580252632682,6.813559322033898,2.0,1.0,0.04009040016184712
11,1000134,10000,2000,2000,1,1,1,0.04741530865430832,0.014281772039355201,3.95049100916367e-05,0.1574099212884903,0.17428923074999148,95.0,92.0,0.06211664430473162,0.05290214717388153,0.045719474692328815,4.5054945054945055,2.0,0.9891304347826086,0.039200409951951336
