trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,0,0,0,0.010216178372502327,0.009676945849807089,2.8330709028523415e-05,0.1497894525527954,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,0,0,0,0.019081057980656624,0.00955270755376714,1.1463942428235896e-05,0.08572546392679214,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,0,0,0,0.009873263537883759,0.00949536453138935,8.11604259070009e-05,0.22101904451847076,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,0,0,0,0.021432744339108467,0.009322561385959488,4.19887546740938e-05,0.13632646203041077,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,0,0,0,0.01210394874215126,0.009819958722955198,6.392486102413386e-05,0.1569340080022812,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,0,0,0,0.002466114005073905,0.009970727074818206,5.01189824717585e-05,0.11365310102701187,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,0,0,0,0.019246075302362442,0.009508454919571158,4.2821196984732524e-05,0.17516234517097473,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,0,0,0,0.006472265813499689,0.010489594371116982,7.810892566340044e-05,0.1583206206560135,0.7336944361250062,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,0,0,0,0.011251186020672321,0.009235748380672157,9.846427565207705e-05,0.039009083062410355,0.18118657300010454,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,0,0,0,0.014019189402461052,0.009991272124124952,0.00010985331755364314,0.09098415821790695,0.18118657300010454,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,0,0,0,0.021727753803133965,0.010116924340621336,0.00012701602827291936,0.25909584760665894,0.18118657300010454,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,0,0,0,0.00994085893034935,0.009691837099911572,9.39260280574672e-06,0.11740729212760925,0.18118657300010454,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,0,0,0,0.011317335069179535,0.009622885490496265,9.945513011189178e-05,0.054885149002075195,0.18118657300010454,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
