trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,1,0,0,0.009833201766014099,0.010082067090412601,3.394095983821899e-05,0.14842452108860016,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,1,0,0,0.019824016839265823,0.01001593734537746,9.256799967261031e-05,0.08607847988605499,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,1,0,0,0.010267665609717369,0.009974789306926505,2.090483576466795e-05,0.22119097411632538,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,1,0,0,0.021616879850625992,0.009832425617256377,5.1023802370764315e-05,0.13655488193035126,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,1,0,0,0.013860969804227352,0.01019231586074893,8.438266377197579e-05,0.15520626306533813,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,1,0,0,0.001994574908167124,0.010561391402037407,9.242525993613526e-05,0.11398852616548538,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,1,0,0,0.020397942513227463,0.010077397156075312,0.00011835198529297486,0.17529632151126862,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,1,0,0,0.006592989899218082,0.010982485634655677,5.474393765325658e-05,0.15826871991157532,0.6283814946250459,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,1,0,0,0.011317716911435127,0.00983327041427474,4.634896322386339e-05,0.041174523532390594,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,1,0,0,0.015831584110856056,0.010458497196047392,8.394653559662402e-05,0.09114230424165726,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,1,0,0,0.02365991286933422,0.01071217132145648,5.239143138169311e-05,0.2591685354709625,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,1,0,0,0.01075150165706873,0.010095726771125737,2.7681207939167507e-05,0.1156252846121788,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,1,0,0,0.012537499889731407,0.010090922466850316,5.370566941564903e-05,0.05464798957109451,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,1,0,0,0.016843006014823914,0.011614381581541966,0.00011692833504639566,0.18806934356689453,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
14,137,10000,2000,2000,1,0,0,0.021673085168004036,0.011016160798846977,0.00016988492279779166,0.15058374404907227,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
15,138,10000,2000,2000,1,0,0,0.017300598323345184,0.009517163616328617,3.862868470605463e-05,0.040589094161987305,0.18398652987502828,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
16,139,10000,2000,2000,1,0,0,0.005736263934522867,0.011064265229014563,0.00013561805826611817,0.1581859141588211,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
17,140,10000,2000,2000,1,0,0,0.008783095516264439,0.011145910202480446,9.838110418058932e-05,0.11468055099248886,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
18,141,10000,2000,2000,1,0,0,0.012751267291605473,0.010587638826391776,8.901669934857637e-05,0.18073266744613647,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
19,142,10000,2000,2000,1,0,0,0.004597305785864592,0.010282733742173878,7.15605347068049e-05,0.10613104701042175,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
20,143,10000,2000,2000,1,0,0,0.0019887255039066076,0.010380617133332635,3.874430331052281e-05,0.09127100557088852,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
21,144,10000,2000,2000,1,0,0,0.01078155729919672,0.011079242401395822,4.222095958539285e-05,0.1981685757637024,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
22,145,10000,2000,2000,1,0,0,0.007862535305321217,0.010537176510915378,3.034573092008941e-05,0.1904764622449875,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
23,146,10000,2000,2000,1,0,0,0.01462994422763586,0.010811206632052199,0.000192948617041111,0.13764257729053497,0.1824548317499648,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
24,147,10000,2000,2000,1,0,0,0.005900755058974028,0.01087418540630897,0.00015765508578624576,0.1256943941116333,0.17619508087500435,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,148,10000,2000,2000,1,0,0,0.014791171066462994,0.010792458017597527,2.731115819187835e-05,0.058948829770088196,0.17619508087500435,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
26,149,10000,2000,2000,1,0,0,0.013284365646541119,0.010818946082919865,9.155521547654644e-05,0.1734972894191742,0.17619508087500435,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
27,150,10000,2000,2000,1,0,0,0.013310764916241169,0.010971999147783209,7.822454790584743e-05,0.0834813192486763,0.17619508087500435,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
28,151,10000,2000,2000,1,0,0,0.004198056645691395,0.010362127947297996,6.47691631456837e-05,0.07824816554784775,0.17619508087500435,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
