trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,10000,2000,2000,1,0,0,0.009726987220346928,0.010550151199665925,2.7805293939309195e-05,0.1497252881526947,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
1,124,10000,2000,2000,1,0,0,0.02042539417743683,0.010476496691904504,2.4950933948275633e-05,0.08589080721139908,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2,125,10000,2000,2000,1,0,0,0.008160404860973358,0.010462476241075637,0.00011553157673915848,0.22096414864063263,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
3,126,10000,2000,2000,1,0,0,0.02530805394053459,0.010305138156641623,0.0001250734640052542,0.136382058262825,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
4,127,10000,2000,2000,1,0,0,0.01332754548639059,0.010630533410326461,8.957687532529235e-05,0.1557847261428833,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
5,128,10000,2000,2000,1,0,0,0.003398100845515728,0.011001796548915081,3.2403881050413474e-05,0.1138097420334816,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
6,129,10000,2000,2000,1,0,0,0.02422506734728813,0.010426457840322109,6.956349534448236e-05,0.17522569000720978,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
7,130,10000,2000,2000,1,0,0,0.006732217501848936,0.01136083519289823,4.833374259760603e-05,0.15826837718486786,0.6063280820001182,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
8,131,10000,2000,2000,1,0,0,0.011840006336569786,0.010237881521369854,8.568220800952986e-05,0.04493669420480728,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
9,132,10000,2000,2000,1,0,0,0.016789475455880165,0.010870873448401108,8.086854359135032e-05,0.09104830771684647,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
10,133,10000,2000,2000,1,0,0,0.02388136275112629,0.011080603087127383,5.428409349406138e-05,0.25913211703300476,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
11,134,10000,2000,2000,1,0,0,0.009041180834174156,0.010441485694915173,0.00010081751679535955,0.11558359116315842,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
12,135,10000,2000,2000,1,0,0,0.01496109925210476,0.010503013966990693,0.00012124047498218715,0.054651159793138504,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
13,136,10000,2000,2000,1,0,0,0.01613747701048851,0.011903491712456889,0.00011375539907021448,0.18809016048908234,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
14,137,10000,2000,2000,1,0,0,0.020101485773921013,0.011227182428848027,8.766544488025829e-05,0.15066373348236084,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
15,138,10000,2000,2000,1,0,0,0.01773759536445141,0.010071498086034261,0.0001514391478849575,0.044445011764764786,0.1767687809999643,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
16,139,10000,2000,2000,1,0,0,0.004451178479939699,0.01124977732884072,9.860272984951735e-05,0.15821512043476105,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
17,140,10000,2000,2000,1,0,0,0.012593853287398815,0.011526571598392184,3.7926169170532376e-05,0.11460378766059875,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
18,141,10000,2000,2000,1,0,0,0.011226491071283817,0.01101387873046333,0.0001278243726119399,0.1807829737663269,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
19,142,10000,2000,2000,1,0,0,0.0031066853553056717,0.010631176466855687,0.00014782413200009614,0.10662471503019333,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
20,143,10000,2000,2000,1,0,0,0.002511388622224331,0.010955463196884375,9.519218292552978e-05,0.09161203354597092,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
21,144,10000,2000,2000,1,0,0,0.01266481913626194,0.011525699945313682,6.815936649218202e-05,0.19817717373371124,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
22,145,10000,2000,2000,1,0,0,0.008621071465313435,0.010933053729202948,3.733363701030612e-05,0.19075660407543182,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
23,146,10000,2000,2000,1,0,0,0.014394533820450306,0.011260941611433373,3.606509562814608e-05,0.13765214383602142,0.1760593384999538,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
24,147,10000,2000,2000,1,0,0,0.004538675770163536,0.011338669150858186,4.060682113049552e-05,0.12569282948970795,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,148,10000,2000,2000,1,0,0,0.014949670992791653,0.011244161368765344,6.24574749963358e-05,0.05884861573576927,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
26,149,10000,2000,2000,1,0,0,0.011208831332623959,0.011330297397419054,0.00023397889162879437,0.1737220734357834,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
27,150,10000,2000,2000,1,0,0,0.01422685757279396,0.011368639070278732,0.0001497056073276326,0.08345937728881836,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
28,151,10000,2000,2000,1,0,0,0.004568189382553101,0.010720966729773499,0.00016962806694209576,0.07825782895088196,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
29,152,10000,2000,2000,1,0,0,0.012798686511814594,0.011477392689014505,1.3474341358232778e-05,0.20952405035495758,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
30,153,10000,2000,2000,1,0,0,0.004120779223740101,0.010134055169920612,7.755019760224968e-05,0.06974750012159348,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
31,154,10000,2000,2000,1,0,0,0.0019239193061366677,0.008922433149197311,0.0,0.2028345912694931,0.17712241425010689,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
32,155,10000,2000,2000,1,0,0,0.016435101628303528,0.01115310482361965,0.00012517542927525938,0.1478727161884308,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
33,156,10000,2000,2000,1,0,0,0.0017372104339301586,0.01010360143249236,3.751135591301136e-05,0.09317868202924728,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
34,157,10000,2000,2000,1,0,0,0.011780721135437489,0.011053663550026977,6.546750228153542e-05,0.13168324530124664,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
35,158,10000,2000,2000,1,0,0,0.010739415884017944,0.011534638077786076,0.00019119206990581006,0.1260555237531662,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
36,159,10000,2000,2000,1,0,0,0.002828675787895918,0.010972502231208636,0.00012002854055026546,0.1377478539943695,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
37,160,10000,2000,2000,1,0,0,0.011814561672508717,0.011846649783209432,7.295160321518779e-05,0.21851135790348053,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
38,161,10000,2000,2000,1,0,0,0.014900407753884792,0.010844169244335353,2.6974015781888738e-05,0.15354083478450775,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
39,162,10000,2000,2000,1,0,0,0.005399536807090044,0.010203132978826397,3.894368637702428e-05,0.04838618263602257,0.17557583287498346,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
40,163,10000,2000,2000,1,0,0,0.007474369835108519,0.012638797803470516,0.00011204975453438237,0.1822909712791443,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
41,164,10000,2000,2000,1,0,0,0.003131892066448927,0.010633756614218873,8.497874659951776e-05,0.13006867468357086,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
42,165,10000,2000,2000,1,0,0,0.004075980745255947,0.010779030778468222,8.529921615263447e-06,0.14468875527381897,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
43,166,10000,2000,2000,1,0,0,0.0060961199924349785,0.00927521102218252,0.0,0.1362340748310089,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
44,167,10000,2000,2000,1,0,0,0.010799271054565907,0.010716867943498073,0.00014363645459525287,0.04208555445075035,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
45,168,10000,2000,2000,1,0,0,0.01359881367534399,0.011106862880563131,0.00015792058547958732,0.24906186759471893,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
46,169,10000,2000,2000,1,0,0,0.00896343681961298,0.010392915780963085,5.719263572245836e-05,0.14496111869812012,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
47,170,10000,2000,2000,1,0,0,0.004365094937384129,0.010546832889129292,0.00017892135656438768,0.19192110002040863,0.17903679062487754,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
48,171,10000,2000,2000,1,0,0,0.007962910458445549,0.010552182149894361,0.000130561224068515,0.08904087543487549,2.1786189529993862,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
49,172,10000,2000,2000,1,0,0,0.01243528164923191,0.009530958819751686,9.845560998655856e-05,0.03961660712957382,2.1786189529993862,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
