condition,trials,mean_of_mean_rmse,std_of_mean_rmse,mean_final_rmse,avg_runtime_s,total_runtime_s,mean_collision_count,mean_collision_events_analyzed,mean_collision_peak_rmse,mean_collision_peak_delta_rmse,mean_collision_recovery_time_steps,mean_collision_recovery_success_rate,adaptive_noise_alpha,adaptive_noise_beta,adaptive_noise_gamma,adaptive_noise_smoothing_enabled,scenario
baseline,50.0,0.009890897458331188,0.0006668679765517147,0.00969498946564272,0.35978597876001006,17.989298938000502,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,false,no_collision
noise_a0p2_b0p1_g0,50.0,0.010847082908289825,0.0006475585952340594,0.010692228297120892,0.32955238320002533,16.477619160001268,0.0,0.0,nan,nan,nan,nan,0.2,0.1,0.0,false,no_collision
noise_a0p1_b0p1_g0,50.0,0.010597998409202175,0.0006641291391470069,0.010712929666042328,0.32765941603996906,16.382970801998454,0.0,0.0,nan,nan,nan,nan,0.1,0.1,0.0,false,no_collision
noise_a0p05_b0p1_g0,50.0,0.010491351513167825,0.0006613230851886871,0.010681538274511695,0.3299444692800171,16.497223464000854,0.0,0.0,nan,nan,nan,nan,0.05,0.1,0.0,false,no_collision
noise_a0p02_b0p1_g0,50.0,0.010427844377940454,0.0006388863123622285,0.010496133521664888,0.32954352495999045,16.477176247999523,0.0,0.0,nan,nan,nan,nan,0.02,0.1,0.0,false,no_collision
noise_a0p2_b0p05_g0,50.0,0.010624726914112174,0.0006383415268174177,0.010504434297326953,0.32295806436006386,16.147903218003194,0.0,0.0,nan,nan,nan,nan,0.2,0.05,0.0,false,no_collision
noise_a0p2_b0p1_g0p6,50.0,0.010821359427283022,0.0006499133681869297,0.010684757756534964,0.32568735639997615,16.284367819998806,0.0,0.0,nan,nan,nan,nan,0.2,0.1,0.6,true,no_collision
noise_a0p1_b0p1_g0p6,50.0,0.010590590530764204,0.0006656743844029245,0.010466961965430528,0.3234462980799435,16.172314903997176,0.0,0.0,nan,nan,nan,nan,0.1,0.1,0.6,true,no_collision
noise_a0p05_b0p1_g0p6,50.0,0.010465910771509879,0.0006728291441739138,0.010396329613868147,0.32842509301994144,16.42125465099707,0.0,0.0,nan,nan,nan,nan,0.05,0.1,0.6,true,no_collision
baseline,50.0,0.13492006439474427,0.6589495850768861,0.06536894341697916,0.3628397165600472,18.141985828002362,101.76,100.7,0.2558513279592008,0.1108027969153423,30.686707809047622,0.9761390994311125,0.0,0.0,0.0,false,with_collision
noise_a0p2_b0p1_g0,50.0,0.018509778800077887,0.0014718897076966824,0.01740289915818721,0.3602662204799344,18.01331102399672,101.76,100.7,0.08913799936458693,0.07033830039228865,12.352013836878005,0.9981436640351992,0.2,0.1,0.0,false,with_collision
noise_a0p1_b0p1_g0,50.0,0.0194464138743057,0.0016466565506651303,0.01799263751832768,0.3449799030599388,17.24899515299694,101.76,100.7,0.09208503397811434,0.07239233278665468,14.053464746815726,0.998013460271566,0.1,0.1,0.0,false,with_collision
noise_a0p05_b0p1_g0,50.0,0.02001367434039458,0.0018457240669978807,0.019142916520358995,0.3495534829600001,17.477674148000006,101.76,100.7,0.09378321218549374,0.0735060995940969,14.915355727902343,0.9975414780094444,0.05,0.1,0.0,false,with_collision
noise_a0p02_b0p1_g0,50.0,0.02054419133500932,0.001921148908884545,0.020065910374978558,0.344231173180051,17.21155865900255,101.76,100.7,0.09520840502200878,0.07426219845928546,15.505992033918451,0.9960100843427047,0.02,0.1,0.0,false,with_collision
noise_a0p2_b0p05_g0,50.0,0.023835824542765126,0.0024805511767133103,0.022317811344692018,0.3554178354199394,17.77089177099697,101.76,100.7,0.10582255050578106,0.08164285251180076,19.49775817735631,0.9945612456611382,0.2,0.05,0.0,false,with_collision
noise_a0p2_b0p1_g0p6,50.0,0.02108643507817395,0.001808471148563142,0.018718557745451107,0.35198000110001887,17.599000055000943,101.76,100.7,0.10628031621121493,0.08479905777372347,15.658435928318205,0.997473798107331,0.2,0.1,0.6,true,with_collision
noise_a0p1_b0p1_g0p6,50.0,0.022118887770451408,0.0021334718368891305,0.020675777160795404,0.3501963384600094,17.50981692300047,101.76,100.7,0.10832423483034681,0.08578592312023348,17.24653110760657,0.99609964340264,0.1,0.1,0.6,true,with_collision
noise_a0p05_b0p1_g0p6,50.0,0.022766173292719384,0.002106517320186927,0.021518785192165525,0.3549221652999768,17.74610826499884,101.76,100.7,0.10962482157508643,0.08656148343037823,18.165830879456337,0.9963916341336767,0.05,0.1,0.6,true,with_collision
