trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,0,0,1,0.09025799483060837,0.04013796395088284,0.0001807269436540082,0.3539014458656311,0.6937010518749958,107.0,104.0,0.13604031103806427,0.1253960281610489,0.09709029427123403,33.911764705882355,16.5,0.9807692307692307,0.08227579825561128
1,1000124,10000,2000,2000,0,0,1,0.026195980608463287,0.03884902931311517,0.00034572352888062596,0.32355010509490967,0.6937010518749958,118.0,118.0,0.13710487209323605,0.1263495534658432,0.09653894284630825,32.8974358974359,17.0,0.9915254237288136,0.08446661687045656
2,1000125,10000,2000,2000,0,0,1,0.018469521775841713,0.051306755290729054,8.452602924080566e-05,0.6198352575302124,0.6937010518749958,110.0,110.0,0.16560869989070026,0.14275779575109482,0.10647044525186754,27.41747572815534,9.0,0.9363636363636364,0.12276912337027236
3,1000126,10000,2000,2000,0,0,1,0.07402732223272324,0.10459263162998686,0.00013756731641478837,2.025157928466797,0.6937010518749958,105.0,101.0,0.21411900373526138,0.12168903648853302,0.11357529232142168,27.346938775510203,10.5,0.9702970297029703,0.20600303264662148
4,1000127,10000,2000,2000,0,0,1,0.002574751852080226,0.04426711159691622,0.00017519151151645929,0.414964497089386,0.6937010518749958,105.0,104.0,0.15044916499979222,0.12891213595867157,0.09758532977438544,30.598039215686274,8.5,0.9807692307692307,0.1095684332935959
5,1000128,10000,2000,2000,0,0,1,0.007406533695757389,0.038100534866122686,4.5900374971097335e-05,0.36338457465171814,0.6937010518749958,111.0,109.0,0.133904870625141,0.12220104038715363,0.08782783305467409,28.80373831775701,13.0,0.981651376146789,0.09691325223159873
6,1000129,10000,2000,2000,0,0,1,0.008340958505868912,0.0324732469161092,7.470734271919355e-05,0.29236868023872375,0.6937010518749958,99.0,98.0,0.12814804134244212,0.11854437738656998,0.09916218368341607,33.391752577319586,21.0,0.9897959183673469,0.06303424057600028
7,1000130,10000,2000,2000,0,0,1,0.019992168992757797,0.0301915292496873,4.341346357250586e-05,0.27753597497940063,0.6937010518749958,92.0,90.0,0.11954090292048124,0.11178852990269661,0.08485799345595296,28.853932584269664,16.0,0.9888888888888889,0.07389185783595571
8,1000131,10000,2000,2000,0,0,1,0.03526321426033974,0.043933763007701056,6.614128506043926e-05,0.4112051725387573,0.18721241125012966,111.0,107.0,0.14533795975148678,0.14332808554172516,0.10458233839011899,35.60952380952381,20.0,0.9813084112149533,0.08657195237390133
9,1000132,10000,2000,2000,0,0,1,0.010818254202604294,0.024937092440083505,0.00019019647152163088,0.19963835179805756,0.18721241125012966,82.0,82.0,0.09418475636985243,0.08985943719744682,0.07274035505023031,24.246913580246915,17.0,0.9878048780487805,0.04917757108870031
10,1000133,10000,2000,2000,0,0,1,0.012966804206371307,0.06210219275350391,0.0003282494144514203,1.167332649230957,0.18721241125012966,120.0,118.0,0.16071992069167101,0.13365378230810165,0.11585560183175712,34.04424778761062,12.0,0.9576271186440678,0.0936037836925095
11,1000134,10000,2000,2000,0,0,1,0.08064667880535126,0.03421909068112072,5.4702388297300786e-05,0.3222845792770386,0.18721241125012966,95.0,92.0,0.14107412265856628,0.13045434653759003,0.1052069595876713,29.21590909090909,15.5,0.9565217391304348,0.076699257421778
12,1000135,10000,2000,2000,0,0,1,0.1117929145693779,0.037378118176064894,8.142770820995793e-05,0.3020264804363251,0.18721241125012966,97.0,96.0,0.13089449800706157,0.13938313722610474,0.09645667531607253,33.65217391304348,14.5,0.9583333333333334,0.0740830053901842
13,1000136,10000,2000,2000,0,0,1,0.04461374506354332,0.033667198608555556,5.259928366285749e-05,0.29371193051338196,0.18721241125012966,83.0,82.0,0.12797744281408263,0.12295038253068924,0.0905833738868085,33.4875,21.0,0.975609756097561,0.08011221181942013
14,1000137,10000,2000,2000,0,0,1,0.14567993581295013,0.039395300729612066,0.00014114470104686916,0.42010998725891113,0.18721241125012966,96.0,96.0,0.15769816900137812,0.14787332713603973,0.10359121434023562,28.46315789473684,14.0,0.9895833333333334,0.11333865391718671
15,1000138,10000,2000,2000,0,0,1,0.004455661401152611,0.03481113136863278,0.00025810327497310936,0.31252455711364746,0.18721241125012966,87.0,87.0,0.12540547112966405,0.12059471011161804,0.08708710886620097,31.226190476190474,12.0,0.9655172413793104,0.08181114002084541
16,1000139,10000,2000,2000,0,0,1,0.009620536118745804,0.08545820722804165,3.877509880112484e-05,1.8593175411224365,0.18775313524997728,112.0,111.0,0.19257432528612045,0.12288147956132889,0.10217891319004155,24.738317757009344,11.0,0.963963963963964,0.1853542542214332
17,1000140,10000,2000,2000,0,0,1,0.02105320431292057,0.03251186655971833,7.108952559065074e-05,0.2630957365036011,0.18775313524997728,87.0,87.0,0.12318768771900528,0.11343184858560562,0.08985683713355853,37.30232558139535,18.5,0.9885057471264368,0.0713646844621673
18,1000141,10000,2000,2000,0,0,1,0.12295982986688614,0.03301329960327421,0.0001715368271106854,0.27581027150154114,0.18775313524997728,98.0,96.0,0.12350178711737196,0.13077400624752045,0.09338060530881952,32.25806451612903,17.0,0.96875,0.06544897399255813
19,1000142,10000,2000,2000,0,0,1,0.0022564379032701254,0.03432854966152081,0.00020772703283000737,0.3760152757167816,0.18775313524997728,102.0,102.0,0.11650064852380869,0.11127471551299095,0.08183133148076926,28.534653465346533,15.0,0.9901960784313726,0.07499433117973456
20,1000143,10000,2000,2000,0,0,1,0.0019407806685194373,0.03187912673845058,9.133392450166866e-05,0.3173443078994751,0.18775313524997728,87.0,85.0,0.12194303153630565,0.11805947124958038,0.09644342495431535,33.83529411764706,21.0,1.0,0.05700956637231525
21,1000144,10000,2000,2000,0,0,1,0.0016564496327191591,0.03475902565300494,0.00013356888666749,0.28999388217926025,0.18775313524997728,104.0,103.0,0.12947767038006805,0.12037360668182373,0.09614714641548985,31.099009900990097,16.0,0.9805825242718447,0.07072847977143859
22,1000145,10000,2000,2000,0,0,1,0.012343957088887691,0.036983251224577546,0.0001331055973423645,0.30735963582992554,0.18775313524997728,106.0,104.0,0.1307000428563557,0.1242995485663414,0.09297975844412856,33.407766990291265,12.0,0.9903846153846154,0.07993797282741211
23,1000146,10000,2000,2000,0,0,1,0.045097917318344116,0.02896705859253707,0.0001375710271531716,0.25520557165145874,0.18775313524997728,86.0,86.0,0.11974953580647707,0.13140567392110825,0.09043267010621454,29.235294117647058,19.0,0.9883720930232558,0.06400963938681323
24,1000147,10000,2000,2000,0,0,1,0.006496500689536333,0.03465709897377237,6.204840610735118e-05,0.24605000019073486,0.18735442137517566,102.0,102.0,0.11681901807805486,0.11790931224822998,0.08437760901342344,31.5,13.0,0.9803921568627451,0.0694815098104186
25,1000148,10000,2000,2000,0,0,1,0.011317994445562363,0.03865632994241896,0.0002712738059926778,0.31165811419487,0.18735442137517566,107.0,107.0,0.1307148644439528,0.12201260030269623,0.09550107558222246,32.78095238095238,19.0,0.9813084112149533,0.07447668141557044
26,1000149,10000,2000,2000,0,0,1,0.031520403921604156,0.04052977563023087,6.435005343519151e-05,0.5654988884925842,0.18735442137517566,101.0,100.0,0.1439092249982059,0.1219080239534378,0.10676689983669348,31.391752577319586,13.0,0.97,0.07923049278117252
27,1000150,10000,2000,2000,0,0,1,0.0885787382721901,0.0414650283706098,0.00010204760474152863,0.30054646730422974,0.18735442137517566,109.0,109.0,0.14066751591792895,0.13092343509197235,0.09595759602476554,32.970873786407765,16.0,0.944954128440367,0.09449353541059215
28,1000151,10000,2000,2000,0,0,1,0.048795659095048904,0.03326475219945642,9.872487134998664e-05,0.2585810124874115,0.18735442137517566,94.0,94.0,0.12408500852340713,0.12274231389164925,0.09388143477009045,31.16304347826087,17.5,0.9787234042553191,0.06605147763923247
29,1000152,10000,2000,2000,0,0,1,0.007195282727479935,0.030270892763210575,5.426969437394291e-05,0.25074145197868347,0.18735442137517566,101.0,100.0,0.1182002086751163,0.12497207522392273,0.08402197473539853,29.96969696969697,13.0,0.99,0.07361084585683421
30,1000153,10000,2000,2000,0,0,1,0.14559029042720795,0.033835594100052546,0.0001220703125,0.24105410277843475,0.18735442137517566,102.0,102.0,0.11600190579124234,0.10578317195177078,0.08578933404359679,35.37,15.0,0.9803921568627451,0.06452444553290787
31,1000154,10000,2000,2000,0,0,1,0.013678702525794506,0.04717652162988124,4.7324738261522725e-05,0.5940412282943726,0.18735442137517566,112.0,110.0,0.14042870265177704,0.1274559050798416,0.09964837561327096,27.37142857142857,14.0,0.9545454545454546,0.08545528987998312
32,1000155,10000,2000,2000,0,0,1,0.024219898506999016,0.04009181032357737,0.0001520931109553203,0.44171181321144104,0.18737157237501378,112.0,112.0,0.13059962612377213,0.12293265759944916,0.0906980262615824,26.10091743119266,12.0,0.9732142857142857,0.08333706243909547
33,1000156,10000,2000,2000,0,0,1,0.08634282648563385,0.04153303969642802,9.067431528819725e-05,0.27750363945961,0.18737157237501378,100.0,98.0,0.13627891822204907,0.13479037582874298,0.09598187445276844,39.297872340425535,15.0,0.9591836734693877,0.08544734867821847
34,1000157,10000,2000,2000,0,0,1,0.04555509239435196,0.04137286439448508,9.306024003308266e-05,0.31655412912368774,0.18737157237501378,110.0,109.0,0.13883345063194769,0.13346372544765472,0.10025736700090339,30.850467289719628,13.0,0.981651376146789,0.08165786482482387
35,1000158,10000,2000,2000,0,0,1,0.041954223066568375,0.041092063195594525,0.00011619573342613876,0.30566543340682983,0.18737157237501378,99.0,97.0,0.1403035949531597,0.12916149199008942,0.1016338084206827,37.03225806451613,19.0,0.9587628865979382,0.08141900544789303
36,1000159,10000,2000,2000,0,0,1,0.0015699525829404593,0.05151253955785214,0.00020218458666931838,0.9362391233444214,0.18737157237501378,110.0,108.0,0.17298220037655146,0.13103791326284409,0.1087639991526548,27.4,13.0,0.9722222222222222,0.13314989923831522
37,1000160,10000,2000,2000,0,0,1,0.04457509145140648,0.037902993326447906,0.0002207802317570895,0.33658960461616516,0.18737157237501378,118.0,117.0,0.126279388466834,0.11471182852983475,0.08194532361886599,29.105263157894736,9.0,0.9743589743589743,0.09287991881673864
38,1000161,10000,2000,2000,0,0,1,0.014267408289015293,0.03594250268024334,0.000266389426542446,0.41140639781951904,0.18737157237501378,112.0,112.0,0.1321086246586804,0.11414885893464088,0.09437271797279598,26.463636363636365,16.5,0.9821428571428571,0.07921923809497718
39,1000162,10000,2000,2000,0,0,1,0.020071107894182205,0.02732441330621077,0.00012073871039319783,0.2726503014564514,0.18737157237501378,82.0,82.0,0.11411627516059614,0.11235934495925903,0.08987016835514025,32.90243902439025,17.5,1.0,0.05512032113278998
40,1000163,10000,2000,2000,0,0,1,0.08028234541416168,0.03137163890639058,0.00015460154099855572,0.25483378767967224,0.18795859937495152,84.0,84.0,0.11184425918119294,0.10801144689321518,0.08441993120873773,34.63855421686747,19.0,0.9880952380952381,0.059389520097978515
41,1000164,10000,2000,2000,0,0,1,0.0074372380040585995,0.03732751434098081,0.0,0.3083629906177521,0.18795859937495152,89.0,89.0,0.13332212532169363,0.1258189082145691,0.0877474905824763,25.83529411764706,11.0,0.9550561797752809,0.09667211991577838
42,1000165,10000,2000,2000,0,0,1,0.10873617976903915,0.07653971091877083,1.9097313270322047e-05,1.8084325790405273,0.18795859937495152,104.0,103.0,0.17872038530637918,0.1322919875383377,0.10511157699696112,29.23,14.0,0.970873786407767,0.15240506414369256
43,1000166,10000,2000,2000,0,0,1,1.4542356729507446,4.746526866555044,0.00011463942792033777,16.568788528442383,0.18795859937495152,115.0,114.0,6.102719130582716,7.435749053955078,0.8752510552889138,8.945945945945946,0.0,0.9736842105263158,10.456160439328745
44,1000167,10000,2000,2000,0,0,1,0.014079741202294827,0.04209131757457362,0.00011158396955579519,0.40141287446022034,0.18795859937495152,132.0,130.0,0.14383414711516637,0.12930073589086533,0.0943222944320923,27.661417322834644,11.0,0.9769230769230769,0.10254524998864732
45,1000168,10000,2000,2000,0,0,1,0.0053814006969332695,0.04021312745464384,0.00013761523587163538,0.2970536947250366,0.18795859937495152,100.0,98.0,0.13711596424786412,0.11858067661523819,0.09713657157003674,35.126315789473686,14.0,0.9693877551020408,0.08506443770896945
46,1000169,10000,2000,2000,0,0,1,0.007282638922333717,0.03170952966746754,2.7672993383021094e-05,0.2756425142288208,0.18795859937495152,84.0,83.0,0.12948105165577797,0.12411772459745407,0.0966506381630908,38.91463414634146,29.0,0.9879518072289156,0.07053775373023671
47,1000170,10000,2000,2000,0,0,1,0.011165696196258068,0.038357343668268006,0.00015277403872460127,0.28272542357444763,0.18795859937495152,102.0,100.0,0.13161144830286503,0.12335928529500961,0.09417340475530364,35.292929292929294,19.0,0.99,0.08017466025191826
48,1000171,10000,2000,2000,0,0,1,0.014580569230020046,0.039542128238592704,0.00022670284670311958,0.47636550664901733,2.5455881480002063,109.0,109.0,0.13024238250944592,0.11092555522918701,0.08770440697910023,27.60185185185185,13.0,0.9908256880733946,0.08982398278780554
49,1000172,10000,2000,2000,0,0,1,0.023104961961507797,0.03743274648205988,8.943270950112492e-05,0.45038068294525146,2.5455881480002063,98.0,98.0,0.14550403976926998,0.1255207136273384,0.10569226197385474,25.840425531914892,13.0,0.9591836734693877,0.08421546759912502
