trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,1,0,1,0.04044022783637047,0.02101767719916097,0.00021505831682588905,0.25953060388565063,0.6603796022500319,107.0,104.0,0.09838992586502662,0.0863797590136528,0.07509383750471338,16.54368932038835,6.0,0.9903846153846154,0.05285939606058842
1,1000124,10000,2000,2000,1,0,1,0.019098516553640366,0.019516494503697322,9.974690328817815e-05,0.18484938144683838,0.6603796022500319,118.0,118.0,0.09193489623208673,0.09227345511317253,0.07163822555796624,14.728813559322035,8.0,1.0,0.04653755468605443
2,1000125,10000,2000,2000,1,0,1,0.011085226200520992,0.02416214829924138,8.392875315621495e-05,0.2184792011976242,0.6603796022500319,110.0,110.0,0.10177266964350234,0.09869243577122688,0.07449929358048724,14.954128440366972,4.0,0.990909090909091,0.05999925420623781
3,1000126,10000,2000,2000,1,0,1,0.025964144617319107,0.020497259856926395,0.0001527093700133264,0.22242942452430725,0.6603796022500319,105.0,101.0,0.10143908157502071,0.0927780270576477,0.08175544467069425,16.07920792079208,9.0,1.0,0.04699314007388041
4,1000127,10000,2000,2000,1,0,1,0.0008574558305554092,0.02258489688643167,9.734954801388085e-05,0.29664209485054016,0.6603796022500319,105.0,104.0,0.09802073999666251,0.09078454598784447,0.07180604196153301,16.46153846153846,6.0,1.0,0.058660427382945704
5,1000128,10000,2000,2000,1,0,1,0.01447287667542696,0.022263565205046326,0.00011914489732589573,0.35589513182640076,0.6603796022500319,111.0,109.0,0.10034737898327342,0.09118612110614777,0.07378950027896866,15.119266055045872,5.0,1.0,0.05870445728240056
6,1000129,10000,2000,2000,1,0,1,0.010363433510065079,0.0202011491447367,1.8989856471307576e-05,0.3017864227294922,0.6603796022500319,99.0,98.0,0.10294387443941466,0.09681493788957596,0.08446790304460963,16.887755102040817,7.5,1.0,0.04415592177093923
7,1000130,10000,2000,2000,1,0,1,0.012211981229484081,0.017530203024878573,0.00011113988875877112,0.1748507022857666,0.6603796022500319,92.0,90.0,0.0867061803324355,0.08746587485074997,0.0671468504420611,13.077777777777778,9.0,1.0,0.04525313788169944
8,1000131,10000,2000,2000,1,0,1,0.0037280581891536713,0.02273643095234729,0.000108299296698533,0.2878318727016449,0.17821370299998307,111.0,107.0,0.10431592408393588,0.10442834347486496,0.08223518549053788,16.130841121495326,9.0,1.0,0.05041891176993393
9,1000132,10000,2000,2000,1,0,1,0.013750776648521423,0.01581366633446305,0.00019084091763943434,0.16472460329532623,0.17821370299998307,82.0,82.0,0.07446486907216107,0.06565899029374123,0.06043708412549544,10.5,6.0,1.0,0.03609401490400182
10,1000133,10000,2000,2000,1,0,1,0.014152365736663342,0.02385185053736204,0.00017122157441917807,0.19882971048355103,0.17821370299998307,120.0,118.0,0.09680006625446474,0.09451374039053917,0.07232926517661603,18.838983050847457,7.0,1.0,0.05408935034503547
11,1000134,10000,2000,2000,1,0,1,0.055113501846790314,0.018317771695766715,0.00015373100177384913,0.16122369468212128,0.17821370299998307,95.0,92.0,0.09377491358748596,0.08535757288336754,0.07301814488214999,13.651685393258427,6.0,0.967391304347826,0.04807025308710646
