trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,1000123,10000,2000,2000,1,0,1,0.03776848316192627,0.021990712486277333,0.00020012736786156893,0.297647625207901,0.6610091502500381,107.0,104.0,0.10813894980730346,0.0985645279288292,0.08400196594148628,16.262135922330096,8.0,0.9903846153846154,0.054157909116385364
1,1000124,10000,2000,2000,1,0,1,0.018113769590854645,0.02089743518125324,0.00011517369421198964,0.21596387028694153,0.6610091502500381,118.0,118.0,0.10444931577007144,0.1028253398835659,0.08242286479048667,14.957627118644067,9.0,1.0,0.04969286821202487
2,1000125,10000,2000,2000,1,0,1,0.01891544833779335,0.024233715833066934,3.7697286643378902e-06,0.262367308139801,0.6610091502500381,110.0,110.0,0.11597406396811659,0.11571110412478447,0.09012673875087451,15.3,6.0,1.0,0.05722451565685599
3,1000126,10000,2000,2000,1,0,1,0.011437798850238323,0.020056251673942826,5.8555913710733876e-05,0.20350103080272675,0.6610091502500381,105.0,101.0,0.10910855521364968,0.11013537645339966,0.08948210705265332,14.524752475247524,8.0,1.0,0.04605607522273493
4,1000127,10000,2000,2000,1,0,1,0.00272756302729249,0.02362651680921117,4.660824197344482e-05,0.31571707129478455,0.6610091502500381,105.0,104.0,0.11183448619424151,0.10637262836098671,0.08471493674566702,18.46153846153846,7.0,1.0,0.06028819357350586
5,1000128,10000,2000,2000,1,0,1,0.010257013142108917,0.023168990490517172,0.00019772247469518334,0.35782840847969055,0.6610091502500381,111.0,109.0,0.11321561942475104,0.10808377712965012,0.08541978217232568,16.256880733944953,7.0,1.0,0.06084099311768207
6,1000129,10000,2000,2000,1,0,1,0.009986490942537785,0.02061579578653982,0.00010801440657814965,0.30710306763648987,0.6610091502500381,99.0,98.0,0.11173014496738205,0.10603725165128708,0.09287879793874727,16.979591836734695,9.0,1.0,0.04407584935018071
7,1000130,10000,2000,2000,1,0,1,0.0014452405739575624,0.017914750695976544,9.135632717516273e-05,0.22065410017967224,0.6610091502500381,92.0,90.0,0.09617706287859215,0.09514476358890533,0.07616478867735067,13.011111111111111,9.5,1.0,0.04593675261371149
8,1000131,10000,2000,2000,1,0,1,0.0051763360388576984,0.02318673321086608,8.338040061062202e-05,0.2673206329345703,0.17909975225006747,111.0,107.0,0.11390025871936406,0.1114114373922348,0.09145986832690285,15.700934579439252,9.0,1.0,0.050993232290330134
9,1000132,10000,2000,2000,1,0,1,0.013945971615612507,0.016848710335955547,0.0002101342979585752,0.17653410136699677,0.17909975225006747,82.0,82.0,0.08522474222884673,0.07903706654906273,0.07062340691276092,12.097560975609756,7.0,1.0,0.036705943782169306
10,1000133,10000,2000,2000,1,0,1,0.014584122225642204,0.023883805030493387,9.44956045714207e-05,0.21894918382167816,0.17909975225006747,120.0,118.0,0.10715017167819758,0.10448484867811203,0.0819969186192562,19.54237288135593,9.5,1.0,0.05556571807114456
11,1000134,10000,2000,2000,1,0,1,0.060802530497312546,0.018821074484266866,0.0001955253246705979,0.19223377108573914,0.17909975225006747,95.0,92.0,0.10812242691526594,0.10670464485883713,0.08641506253979575,13.122222222222222,7.0,0.9782608695652174,0.04962649404876057
12,1000135,10000,2000,2000,1,0,1,0.03261508420109749,0.02120068575574405,6.844648305559531e-05,0.1910516768693924,0.17909975225006747,97.0,96.0,0.10803205603345607,0.1146911159157753,0.08757108871696202,16.166666666666668,8.0,1.0,0.04691696065209102
13,1000136,10000,2000,2000,1,0,1,0.02168755605816841,0.021527192768001625,4.0731214539846405e-05,0.23054289817810059,0.17909975225006747,83.0,82.0,0.10823005853538833,0.1107843816280365,0.08572782981035544,14.753086419753087,10.0,0.9878048780487805,0.050999605074246626
14,1000137,10000,2000,2000,1,0,1,0.07497785240411758,0.020901302769956238,0.00012595181760843843,0.29610177874565125,0.17909975225006747,96.0,96.0,0.12179454984531428,0.11478433385491371,0.0985862041881622,15.0,10.0,0.9895833333333334,0.052913423799715635
15,1000138,10000,2000,2000,1,0,1,0.0045120613649487495,0.0223099901969832,5.444982889457606e-05,0.29141461849212646,0.17909975225006747,87.0,87.0,0.10142820480483017,0.09431333839893341,0.07678016536859966,16.197674418604652,6.0,0.9885057471264368,0.055480240021396975
16,1000139,10000,2000,2000,1,0,1,0.010132218711078167,0.022783246811381285,2.6107105441042222e-05,0.2484559863805771,0.19192960087502797,112.0,111.0,0.1054411295398667,0.0985184982419014,0.08267812422034383,14.585585585585585,7.0,1.0,0.05160653277563545
17,1000140,10000,2000,2000,1,0,1,0.012863370589911938,0.02072103575552901,0.00012804164725821465,0.23674613237380981,0.19192960087502797,87.0,87.0,0.1096492240141178,0.10561851412057877,0.08573737298867709,18.011494252873565,11.0,1.0,0.053714311005087355
18,1000141,10000,2000,2000,1,0,1,0.0855221301317215,0.018854031321327056,0.00010688174370443448,0.15787754952907562,0.19192960087502797,98.0,96.0,0.09751388857451578,0.09918787330389023,0.08051188546313218,13.463157894736842,6.0,0.9895833333333334,0.04013758047076408
19,1000142,10000,2000,2000,1,0,1,0.0038701524026691914,0.02130890274370322,0.00016766558110248297,0.3640085458755493,0.19192960087502797,102.0,102.0,0.0967536842560067,0.09320061281323433,0.07557849264509664,13.450980392156863,8.0,1.0,0.04931073364267565
20,1000143,10000,2000,2000,1,0,1,0.0005561275756917894,0.017592866037090427,6.407385808415711e-05,0.27182748913764954,0.19192960087502797,87.0,85.0,0.10637308140011395,0.10624144971370697,0.0911084184269866,14.141176470588235,10.0,1.0,0.038637876616023914
21,1000144,10000,2000,2000,1,0,1,0.0012461281148716807,0.021819872131748706,0.00028607112471945584,0.24356096982955933,0.19192960087502797,104.0,103.0,0.11182501009728724,0.10710747539997101,0.08913893680850005,17.59223300970874,8.0,1.0,0.05093334120903979
22,1000145,10000,2000,2000,1,0,1,0.013843514025211334,0.01951470023439033,8.227064972743392e-05,0.27114760875701904,0.19192960087502797,106.0,104.0,0.09725133660965814,0.09378812089562416,0.07908410051496992,12.826923076923077,7.0,1.0,0.0430938180764161
