condition,trials,mean_of_mean_rmse,std_of_mean_rmse,mean_final_rmse,avg_runtime_s,total_runtime_s,mean_collision_count,mean_collision_events_analyzed,mean_collision_peak_rmse,mean_collision_peak_delta_rmse,mean_collision_recovery_time_steps,mean_collision_recovery_success_rate,adaptive_noise_alpha,adaptive_noise_beta,adaptive_noise_gamma,adaptive_noise_smoothing_enabled,scenario
baseline,8.0,0.040136001891301024,0.011543647428709208,0.03560088260564953,0.6098433177498919,4.878746541999135,19.875,19.75,0.13676485420585527,0.09953108181502779,32.342932852965745,0.9486566742081448,0.0,0.0,0.0,false,with_collision
noise_a0p02_b0p005_g0,8.0,0.03780516665866662,0.011007579369804277,0.03481072100112215,0.5028221507498074,4.022577205998459,19.875,19.75,0.13605674812618712,0.10046139589078715,28.625065267335003,0.9486566742081448,0.02,0.005,0.0,false,with_collision
noise_a0p02_b0p005_g0p6,8.0,0.03658471757528173,0.007160298135524719,0.034103595884516835,0.5072241713751282,4.057793371001026,19.875,19.75,0.13191111318689627,0.09576718518540797,27.666392021720966,0.9534643665158371,0.02,0.005,0.6,true,with_collision
noise_a0p02_b0p005_g0p8,8.0,0.03589517043058822,0.006692558139840907,0.03450737980892882,0.5023896486250123,4.019117189000099,19.875,19.75,0.13031861654188653,0.09535126616318715,29.827013888888885,0.9612768665158371,0.02,0.005,0.8,true,with_collision
noise_a0p02_b0p01_g0,8.0,0.03644885962541684,0.006185306164968492,0.03516594835673459,0.4958593168751122,3.9668745350008976,19.875,19.75,0.1303234911340453,0.09449614212035753,27.572903091060986,0.9534643665158371,0.02,0.01,0.0,false,with_collision
noise_a0p02_b0p01_g0p6,8.0,0.03574539321784369,0.006511650871215312,0.03528039454249665,0.49754902624999886,3.980392209999991,19.875,19.75,0.1306729697602902,0.0954731100750099,28.672230576441102,0.9612768665158371,0.02,0.01,0.6,true,with_collision
noise_a0p02_b0p01_g0p8,8.0,0.03508195058761748,0.0064135250341456835,0.03536181943491101,0.4869996635000007,3.8959973080000054,19.875,19.75,0.12899360331811896,0.0950934588479415,27.987770467836256,0.9612768665158371,0.02,0.01,0.8,true,with_collision
noise_a0p02_b0p05_g0,8.0,0.027645792746237928,0.003739711551426106,0.029203002981375903,0.4871235623750181,3.8969884990001447,19.875,19.75,0.11159709016311603,0.08478179884876341,21.21169172932331,0.9690893665158371,0.02,0.05,0.0,false,with_collision
noise_a0p02_b0p05_g0p6,8.0,0.029194412397640458,0.0036031805146761182,0.030063108424656093,0.49203937800007225,3.936315024000578,19.875,19.75,0.1213766914859831,0.09247575198427575,24.260543024227236,0.9690893665158371,0.02,0.05,0.6,true,with_collision
noise_a0p02_b0p05_g0p8,8.0,0.029925519722188255,0.003988190624233944,0.0316225576098077,0.48937927462520747,3.9150341970016598,19.875,19.75,0.12489192928258078,0.09561332929578345,24.16514358813701,0.9690893665158371,0.02,0.05,0.8,true,with_collision
noise_a0p02_b0p1_g0,8.0,0.020468154194688393,0.002228108619458403,0.025683322513941675,0.5018038139999135,4.014430511999308,19.875,19.75,0.0926804641459046,0.07305082261615413,14.186874236874237,0.9801470588235295,0.02,0.1,0.0,false,with_collision
noise_a0p02_b0p1_g0p6,8.0,0.02364763329788684,0.00306016615473555,0.024232609604950994,0.48556947437509734,3.8845557950007787,19.875,19.75,0.11077866545638011,0.08716028820186209,18.96322255960414,0.9738970588235294,0.02,0.1,0.6,true,with_collision
noise_a0p02_b0p1_g0p8,8.0,0.024714327889832022,0.0030806463638618138,0.027775030757766217,0.48753654400002233,3.9002923520001787,19.875,19.75,0.11608691420157499,0.09212230268801841,18.885618091703616,0.9738970588235294,0.02,0.1,0.8,true,with_collision
noise_a0p05_b0p005_g0,8.0,0.03689225901554346,0.010623144480098436,0.034791525453329086,0.4827161116249954,3.861728892999963,19.875,19.75,0.13228404464603977,0.09822774097999828,30.320244621971593,0.9642816742081448,0.05,0.005,0.0,false,with_collision
